event_index,event_initiation,current_T (°C),past_24hr_T (°C),CEI_raw,CEI,D_norm,NAC_norm,duration (hh:mm),cause_code,gen_rating_group (MW),gen_unit_type,gen_fuel,gen_state
77,2016-01-22 20:00:00,-8.0,"[-8.0, -9.0, -10.0, -10.0, -12.0, -17.0, -17.0, -18.0, -18.0, -18.0, -18.0, -19.0, -19.0, -21.0, -21.0, -19.0, -19.0, -17.0, -13.0, -11.0, -10.0, -10.0, -9.0, -9.0]",252.52303690509777,0.8876791812850888,0.65,0.88,00:30,Cooling tower icing,<100,Combined Cycle Block,Gas,NY
78,2016-01-22 20:00:00,-8.0,"[-8.0, -9.0, -10.0, -10.0, -12.0, -17.0, -17.0, -18.0, -18.0, -18.0, -18.0, -19.0, -19.0, -21.0, -21.0, -19.0, -19.0, -17.0, -13.0, -11.0, -10.0, -10.0, -9.0, -9.0]",252.52303690509777,0.8876791812850888,0.65,0.95,00:30,Cooling tower icing,<100,Combined Cycle Block,Gas,NY
79,2016-01-22 20:00:00,-8.0,"[-8.0, -9.0, -10.0, -10.0, -12.0, -17.0, -17.0, -18.0, -18.0, -18.0, -18.0, -19.0, -19.0, -21.0, -21.0, -19.0, -19.0, -17.0, -13.0, -11.0, -10.0, -10.0, -9.0, -9.0]",252.52303690509777,0.8876791812850888,0.65,0.95,00:30,Cooling tower icing,<100,Combined Cycle Block,Gas,NY
80,2017-01-07 20:00:00,-11.0,"[-11.0, -11.0, -12.0, -12.0, -15.0, -14.0, -17.0, -16.0, -17.0, -17.0, -17.0, -18.0, -18.0, -18.0, -18.0, -19.0, -19.0, -17.0, -16.0, -15.0, -13.0, -12.0, -11.0, -11.0]",265.4075567727936,1.0014799220349198,0.7,0.0,08:13,Storms (ice; snow; etc),<100,CC GT units ,Gas,NY
81,2017-01-07 18:00:00,-11.0,"[-11.0, -10.0, -11.0, -11.0, -12.0, -12.0, -15.0, -14.0, -17.0, -16.0, -17.0, -17.0, -17.0, -18.0, -18.0, -18.0, -18.0, -19.0, -19.0, -17.0, -16.0, -15.0, -13.0, -12.0]",269.30590278499466,1.0359115243331094,0.73,0.0,01:41,Storms (ice; snow; etc),<100,CC GT units ,Gas,NY
82,2017-12-31 18:00:00,-19.0,"[-17.0, -17.0, -17.0, -17.0, -18.0, -21.0, -23.0, -22.0, -23.0, -23.0, -22.0, -22.0, -21.0, -22.0, -22.0, -23.0, -24.0, -24.0, -25.0, -25.0, -22.0, -22.0, -21.0, -20.0]",382.3346401227842,2.034222223306697,0.74,0.0,10:32,Other fuel system problems A,<100,Gas Turbine/Jet Engine (Simple Cycle Operation),Gas,NY
83,2017-12-30 15:00:00,-19.0,"[-21.0, -20.0, -19.0, -18.0, -18.0, -17.0, -19.0, -21.0, -23.0, -24.0, -26.0, -28.0, -28.0, -28.0, -28.0, -28.0, -28.0, -28.0, -28.0, -26.0, -26.0, -24.0, -22.0, -20.0]",422.8390749053915,2.3919720447393704,0.65,0.0,02:03,Storms (ice; snow; etc),<100,CoG GT units,Gas,NY
84,2017-02-09 20:00:00,-11.0,"[-3.0, -3.0, -3.0, -4.0, -4.0, -5.0, -6.0, -7.0, -8.0, -9.0, -11.0, -12.0, -12.0, -13.0, -13.0, -14.0, -14.0, -14.0, -14.0, -14.0, -13.0, -13.0, -12.0, -12.0]",186.19278805315082,0.30182642689587363,0.71,0.86,04:01,Storms (ice; snow; etc),<100,CC GT units ,Gas,NY
85,2017-12-30 15:00:00,-19.0,"[-21.0, -20.0, -19.0, -18.0, -18.0, -17.0, -19.0, -21.0, -23.0, -24.0, -26.0, -28.0, -28.0, -28.0, -28.0, -28.0, -28.0, -28.0, -28.0, -26.0, -26.0, -24.0, -22.0, -20.0]",422.8390749053915,2.3919720447393704,0.65,0.0,05:14,Storms (ice; snow; etc),<100,CoG GT units,Gas,NY
86,2017-12-15 10:00:00,-23.0,"[-18.0, -20.0, -21.0, -20.0, -17.0, -17.0, -16.0, -15.0, -14.0, -13.0, -13.0, -14.0, -14.0, -17.0, -17.0, -16.0, -16.0, -17.0, -18.0, -19.0, -21.0, -21.0, -22.0, -23.0]",319.5125757621315,1.4793550235129085,0.68,0.0,04:41,Storms (ice; snow; etc),<100,CC GT units ,Gas,NY
87,2017-12-31 20:00:00,-19.0,"[-17.0, -17.0, -18.0, -21.0, -23.0, -22.0, -23.0, -23.0, -22.0, -22.0, -21.0, -22.0, -22.0, -23.0, -24.0, -24.0, -25.0, -25.0, -22.0, -22.0, -21.0, -20.0, -19.0, -19.0]",381.5296800125587,2.0271125243999175,0.7,0.0,08:39,Other fuel system problems A,<100,Gas Turbine/Jet Engine (Simple Cycle Operation),Gas,NY
88,2018-01-01 17:00:00,-20.0,"[-20.0, -19.0, -19.0, -19.0, -21.0, -22.0, -23.0, -24.0, -26.0, -24.0, -27.0, -27.0, -26.0, -28.0, -29.0, -30.0, -29.0, -29.0, -30.0, -31.0, -29.0, -27.0, -23.0, -21.0]",449.47147105811234,2.627199002456389,0.74,0.0,18:16,Ignition system B,<100,Gas Turbine/Jet Engine (Simple Cycle Operation),Gas,NY
89,2018-01-01 05:00:00,-26.0,"[-22.0, -21.0, -22.0, -22.0, -23.0, -24.0, -24.0, -25.0, -25.0, -22.0, -22.0, -21.0, -20.0, -19.0, -19.0, -19.0, -21.0, -22.0, -23.0, -24.0, -26.0, -24.0, -27.0, -27.0]",408.8282035005847,2.2682229597295946,0.57,0.0,32:59,Other fuel system problems A,<100,Gas Turbine/Jet Engine (Simple Cycle Operation),Gas,NY
90,2018-01-01 05:00:00,-26.0,"[-22.0, -21.0, -22.0, -22.0, -23.0, -24.0, -24.0, -25.0, -25.0, -22.0, -22.0, -21.0, -20.0, -19.0, -19.0, -19.0, -21.0, -22.0, -23.0, -24.0, -26.0, -24.0, -27.0, -27.0]",408.8282035005847,2.2682229597295946,0.57,0.0,33:56,Other fuel system problems A,<100,Gas Turbine/Jet Engine (Simple Cycle Operation),Gas,NY
91,2018-01-07 13:00:00,-27.0,"[-26.0, -25.0, -24.0, -24.0, -23.0, -22.0, -22.0, -22.0, -22.0, -22.0, -22.0, -22.0, -23.0, -23.0, -24.0, -26.0, -25.0, -26.0, -27.0, -28.0, -29.0, -29.0, -29.0, -29.0]",448.709274398965,2.6204670058202177,0.67,0.0,01:08,SCR NOx Injection grid piping/valves,<100,Gas Turbine/Jet Engine (Simple Cycle Operation),Gas,NY
92,2019-01-23 17:00:00,-6.0,"[-16.0, -15.0, -14.0, -13.0, -13.0, -14.0, -13.0, -14.0, -17.0, -17.0, -14.0, -14.0, -16.0, -13.0, -13.0, -12.0, -11.0, -11.0, -9.0, -9.0, -8.0, -6.0, -6.0, -6.0]",201.57801426471207,0.4377143107641058,0.71,0.0,01:07,Storms (ice; snow; etc),<100,CoG GT units,Gas,NY
93,2019-01-23 17:00:00,-6.0,"[-16.0, -15.0, -14.0, -13.0, -13.0, -14.0, -13.0, -14.0, -17.0, -17.0, -14.0, -14.0, -16.0, -13.0, -13.0, -12.0, -11.0, -11.0, -9.0, -9.0, -8.0, -6.0, -6.0, -6.0]",201.57801426471207,0.4377143107641058,0.71,0.0,01:22,Storms (ice; snow; etc),<100,CoG GT units,Gas,NY
94,2020-12-17 05:00:00,-12.0,"[-16.0, -16.0, -16.0, -17.0, -17.0, -17.0, -17.0, -17.0, -15.0, -15.0, -14.0, -13.0, -12.0, -12.0, -12.0, -12.0, -13.0, -13.0, -13.0, -12.0, -12.0, -12.0, -12.0, -12.0]",241.34187364750954,0.7889231023450762,0.54,0.0,09:05,Storms (ice; snow; etc),>200,CC GT units ,Gas,NY
95,2020-12-17 14:00:00,-11.0,"[-15.0, -14.0, -13.0, -12.0, -12.0, -12.0, -12.0, -13.0, -13.0, -13.0, -12.0, -12.0, -12.0, -12.0, -12.0, -12.0, -12.0, -12.0, -12.0, -12.0, -12.0, -12.0, -12.0, -12.0]",217.00196937638833,0.573944262289245,0.65,0.0,28:57,Storms (ice; snow; etc),>200,CC GT units ,Gas,NY
96,2020-12-17 08:00:00,-12.0,"[-17.0, -17.0, -17.0, -17.0, -17.0, -15.0, -15.0, -14.0, -13.0, -12.0, -12.0, -12.0, -12.0, -13.0, -13.0, -13.0, -12.0, -12.0, -12.0, -12.0, -12.0, -12.0, -12.0, -12.0]",233.44794513509427,0.719201069908976,0.62,0.0,44:47,Storms (ice; snow; etc),>200,CC GT units ,Gas,NY
97,2020-12-17 01:00:00,-12.0,"[-13.0, -14.0, -15.0, -15.0, -16.0, -16.0, -16.0, -17.0, -17.0, -17.0, -17.0, -17.0, -15.0, -15.0, -14.0, -13.0, -12.0, -12.0, -12.0, -12.0, -13.0, -13.0, -13.0, -12.0]",249.57833878420644,0.8616705421675184,0.53,0.65,06:35,Storms (ice; snow; etc),>200,CC GT units ,Gas,NY
98,2020-12-17 01:00:00,-12.0,"[-13.0, -14.0, -15.0, -15.0, -16.0, -16.0, -16.0, -17.0, -17.0, -17.0, -17.0, -17.0, -15.0, -15.0, -14.0, -13.0, -12.0, -12.0, -12.0, -12.0, -13.0, -13.0, -13.0, -12.0]",249.57833878420644,0.8616705421675184,0.53,0.62,04:08,Storms (ice; snow; etc),>200,CC GT units ,Gas,NY
99,2021-02-09 16:00:00,-7.0,"[-10.0, -9.0, -8.0, -8.0, -7.0, -8.0, -11.0, -14.0, -16.0, -16.0, -16.0, -17.0, -17.0, -16.0, -14.0, -13.0, -13.0, -12.0, -12.0, -12.0, -12.0, -11.0, -9.0, -8.0]",209.95446300396054,0.5116981364066466,0.67,0.67,00:54,Storms (ice; snow; etc),>200,CC GT units ,Gas,NY
100,2021-02-09 19:00:00,-6.0,"[-8.0, -7.0, -8.0, -11.0, -14.0, -16.0, -16.0, -16.0, -17.0, -17.0, -16.0, -14.0, -13.0, -13.0, -12.0, -12.0, -12.0, -12.0, -11.0, -9.0, -8.0, -7.0, -7.0, -6.0]",197.81981779256967,0.40452055990610897,0.68,0.73,00:33,Storms (ice; snow; etc),>200,CC GT units ,Gas,NY
101,2021-02-01 11:00:00,-24.0,"[-27.0, -26.0, -24.0, -17.0, -15.0, -13.0, -13.0, -13.0, -12.0, -13.0, -14.0, -16.0, -17.0, -20.0, -18.0, -21.0, -20.0, -21.0, -22.0, -22.0, -23.0, -23.0, -24.0, -23.0]",348.8092709363602,1.7381140340607681,0.68,0.62,07:02,Storms (ice; snow; etc),>200,CC GT units ,Gas,NY
102,2021-02-09 14:00:00,-9.0,"[-13.0, -12.0, -10.0, -9.0, -8.0, -8.0, -7.0, -8.0, -11.0, -14.0, -16.0, -16.0, -16.0, -17.0, -17.0, -16.0, -14.0, -13.0, -13.0, -12.0, -12.0, -12.0, -12.0, -11.0]",219.66915772161826,0.5975018346724806,0.67,0.77,02:48,Storms (ice; snow; etc),>200,CC GT units ,Gas,NY
103,2021-02-01 19:00:00,-8.0,"[-12.0, -13.0, -14.0, -16.0, -17.0, -20.0, -18.0, -21.0, -20.0, -21.0, -22.0, -22.0, -23.0, -23.0, -24.0, -23.0, -24.0, -23.0, -20.0, -17.0, -15.0, -12.0, -11.0, -9.0]",313.5129664224529,1.4263643033249682,0.68,0.0,13:43,Storms (ice; snow; etc),>200,CC GT units ,Gas,NY
104,2021-02-01 09:00:00,-24.0,"[-26.0, -27.0, -27.0, -26.0, -24.0, -17.0, -15.0, -13.0, -13.0, -13.0, -12.0, -13.0, -14.0, -16.0, -17.0, -20.0, -18.0, -21.0, -20.0, -21.0, -22.0, -22.0, -23.0, -23.0]",347.41703692713725,1.7258173196178876,0.66,0.82,01:48,Storms (ice; snow; etc),>200,CC GT units ,Gas,NY
105,2021-02-09 17:00:00,-7.0,"[-9.0, -8.0, -8.0, -7.0, -8.0, -11.0, -14.0, -16.0, -16.0, -16.0, -17.0, -17.0, -16.0, -14.0, -13.0, -13.0, -12.0, -12.0, -12.0, -12.0, -11.0, -9.0, -8.0, -7.0]",205.986082061298,0.4766479602658363,0.69,0.57,02:01,Storms (ice; snow; etc),>200,CC GT units ,Gas,NY
106,2021-02-01 09:00:00,-24.0,"[-26.0, -27.0, -27.0, -26.0, -24.0, -17.0, -15.0, -13.0, -13.0, -13.0, -12.0, -13.0, -14.0, -16.0, -17.0, -20.0, -18.0, -21.0, -20.0, -21.0, -22.0, -22.0, -23.0, -23.0]",347.41703692713725,1.7258173196178876,0.66,0.82,01:48,Storms (ice; snow; etc),>200,CC GT units ,Gas,NY
107,2021-02-01 20:00:00,-10.0,"[-13.0, -14.0, -16.0, -17.0, -20.0, -18.0, -21.0, -20.0, -21.0, -22.0, -22.0, -23.0, -23.0, -24.0, -23.0, -24.0, -23.0, -20.0, -17.0, -15.0, -12.0, -11.0, -9.0, -8.0]",308.50388096672685,1.382122248425427,0.65,0.0,22:18,Storms (ice; snow; etc),>200,CC GT units ,Gas,NY
108,2021-02-01 18:00:00,-9.0,"[-13.0, -12.0, -13.0, -14.0, -16.0, -17.0, -20.0, -18.0, -21.0, -20.0, -21.0, -22.0, -22.0, -23.0, -23.0, -24.0, -23.0, -24.0, -23.0, -20.0, -17.0, -15.0, -12.0, -11.0]",321.2202449389275,1.4944377754718912,0.7,0.56,01:42,Storms (ice; snow; etc),>200,CC GT units ,Gas,NY
109,2021-02-09 17:00:00,-7.0,"[-9.0, -8.0, -8.0, -7.0, -8.0, -11.0, -14.0, -16.0, -16.0, -16.0, -17.0, -17.0, -16.0, -14.0, -13.0, -13.0, -12.0, -12.0, -12.0, -12.0, -11.0, -9.0, -8.0, -7.0]",205.986082061298,0.4766479602658363,0.69,0.57,02:00,Storms (ice; snow; etc),>200,CC GT units ,Gas,NY
110,2021-02-09 16:00:00,-7.0,"[-10.0, -9.0, -8.0, -8.0, -7.0, -8.0, -11.0, -14.0, -16.0, -16.0, -16.0, -17.0, -17.0, -16.0, -14.0, -13.0, -13.0, -12.0, -12.0, -12.0, -12.0, -11.0, -9.0, -8.0]",209.95446300396054,0.5116981364066466,0.67,0.67,00:54,Storms (ice; snow; etc),>200,CC GT units ,Gas,NY
111,2021-02-01 11:00:00,-24.0,"[-27.0, -26.0, -24.0, -17.0, -15.0, -13.0, -13.0, -13.0, -12.0, -13.0, -14.0, -16.0, -17.0, -20.0, -18.0, -21.0, -20.0, -21.0, -22.0, -22.0, -23.0, -23.0, -24.0, -23.0]",348.8092709363602,1.7381140340607681,0.68,0.62,07:02,Storms (ice; snow; etc),>200,CC GT units ,Gas,NY
112,2021-02-09 14:00:00,-9.0,"[-13.0, -12.0, -10.0, -9.0, -8.0, -8.0, -7.0, -8.0, -11.0, -14.0, -16.0, -16.0, -16.0, -17.0, -17.0, -16.0, -14.0, -13.0, -13.0, -12.0, -12.0, -12.0, -12.0, -11.0]",219.66915772161826,0.5975018346724806,0.67,0.77,02:48,Storms (ice; snow; etc),>200,CC GT units ,Gas,NY
113,2021-02-09 19:00:00,-6.0,"[-8.0, -7.0, -8.0, -11.0, -14.0, -16.0, -16.0, -16.0, -17.0, -17.0, -16.0, -14.0, -13.0, -13.0, -12.0, -12.0, -12.0, -12.0, -11.0, -9.0, -8.0, -7.0, -7.0, -6.0]",197.81981779256967,0.40452055990610897,0.68,0.73,00:33,Storms (ice; snow; etc),>200,CC GT units ,Gas,NY
