event_index,event_initiation,current_T (°C),past_24hr_T (°C),CEI_raw,CEI,D_norm,NAC_norm,duration (hh:mm),cause_code,gen_rating_group (MW),gen_unit_type,gen_fuel,gen_state
128,2022-01-17 05:00:00,-14.0,"[-25.0, -26.0, -26.0, -27.0, -27.0, -26.0, -27.0, -26.0, -23.0, -21.0, -19.0, -16.0, -14.0, -13.0, -13.0, -13.0, -14.0, -15.0, -15.0, -15.0, -15.0, -15.0, -15.0, -14.0]",319.0503567554583,1.4752725380273655,0.54,0.77,07:28,Storms (ice; snow; etc),>200,CC GT units ,Gas,NY
129,2022-01-16 09:00:00,-27.0,"[-24.0, -25.0, -26.0, -26.0, -25.0, -24.0, -23.0, -23.0, -22.0, -21.0, -20.0, -20.0, -21.0, -22.0, -23.0, -23.0, -23.0, -24.0, -24.0, -26.0, -25.0, -26.0, -26.0, -27.0]",426.3594965495765,2.423065682296206,0.64,0.0,01:30,Operator error,>200,CC GT units ,Gas,NY
130,2022-01-29 12:00:00,-22.0,"[-16.0, -17.0, -17.0, -17.0, -16.0, -15.0, -15.0, -15.0, -15.0, -16.0, -18.0, -23.0, -25.0, -27.0, -28.0, -28.0, -29.0, -30.0, -31.0, -30.0, -24.0, -24.0, -23.0, -22.0]",400.37588404634045,2.193569016484194,0.69,0.0,00:45,Storms (ice; snow; etc),<100,Gas Turbine/Jet Engine (Simple Cycle Operation),Gas,NY
131,2022-01-29 14:00:00,-22.0,"[-17.0, -17.0, -16.0, -15.0, -15.0, -15.0, -15.0, -16.0, -18.0, -23.0, -25.0, -27.0, -28.0, -28.0, -29.0, -30.0, -31.0, -30.0, -24.0, -24.0, -23.0, -22.0, -22.0, -22.0]",404.8676518843295,2.233241935032057,0.68,0.0,55:58,Storms (ice; snow; etc),<100,CC GT units ,Gas,NY
132,2022-01-21 16:00:00,-20.0,"[-17.0, -16.0, -16.0, -16.0, -17.0, -18.0, -19.0, -20.0, -21.0, -24.0, -26.0, -28.0, -29.0, -29.0, -31.0, -31.0, -32.0, -32.0, -33.0, -33.0, -33.0, -31.0, -24.0, -21.0]",453.41330908642755,2.662014741975159,0.71,0.0,02:00,Service air dryers,>200,CC GT units ,Gas,NY
133,2022-01-21 16:00:00,-20.0,"[-17.0, -16.0, -16.0, -16.0, -17.0, -18.0, -19.0, -20.0, -21.0, -24.0, -26.0, -28.0, -29.0, -29.0, -31.0, -31.0, -32.0, -32.0, -33.0, -33.0, -33.0, -31.0, -24.0, -21.0]",453.41330908642755,2.662014741975159,0.71,0.0,02:00,Service air dryers,>200,CC GT units ,Gas,NY
134,2022-12-28 05:00:00,-6.0,"[-9.0, -9.0, -9.0, -9.0, -9.0, -9.0, -9.0, -8.0, -8.0, -8.0, -8.0, -7.0, -7.0, -7.0, -6.0, -6.0, -6.0, -7.0, -7.0, -7.0, -7.0, -7.0, -7.0, -6.0]",130.01577454548948,-0.19434927976073602,0.69,0.0,24:00,Storms (ice; snow; etc),<100,Combined Cycle Block,Gas,NY
135,2022-12-12 08:00:00,-7.0,"[-8.0, -8.0, -8.0, -8.0, -8.0, -7.0, -7.0, -7.0, -7.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -7.0]",116.04501181181519,-0.3177441104768135,0.81,0.77,02:04,Storms (ice; snow; etc),>200,CC GT units ,Gas,NY
136,2022-12-16 01:00:00,-2.0,"[-9.0, -10.0, -11.0, -9.0, -10.0, -11.0, -10.0, -10.0, -10.0, -9.0, -9.0, -8.0, -7.0, -5.0, -3.0, -2.0, -2.0, -1.0, -1.0, -1.0, -1.0, -1.0, -2.0, -2.0]",89.96843718886947,-0.5480618513613367,0.65,0.6,06:14,Storms (ice; snow; etc),>200,CC GT units ,Gas,NY
137,2022-12-11 18:00:00,-6.0,"[-6.0, -6.0, -6.0, -7.0, -7.0, -8.0, -9.0, -9.0, -9.0, -9.0, -8.0, -8.0, -8.0, -8.0, -8.0, -8.0, -8.0, -8.0, -8.0, -7.0, -7.0, -7.0, -7.0, -6.0]",132.97372658954276,-0.16822357719888045,0.83,0.62,12:33,Storms (ice; snow; etc),>200,CC GT units ,Gas,NY
138,2022-12-16 07:00:00,0.0,"[-10.0, -10.0, -10.0, -9.0, -9.0, -8.0, -7.0, -5.0, -3.0, -2.0, -2.0, -1.0, -1.0, -1.0, -1.0, -1.0, -2.0, -2.0, -2.0, -1.0, 0.0, 0.0, 0.0, 0.0]",49.74785426703244,-0.9033045904695952,0.77,0.67,00:50,Storms (ice; snow; etc),>200,CC GT units ,Gas,NY
139,2022-12-12 10:00:00,-8.0,"[-8.0, -8.0, -8.0, -7.0, -7.0, -7.0, -7.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -7.0, -7.0, -7.0]",116.61723025892803,-0.3126900701384206,0.83,0.84,00:45,Storms (ice; snow; etc),>200,CC GT units ,Gas,NY
140,2022-12-11 18:00:00,-6.0,"[-6.0, -6.0, -6.0, -7.0, -7.0, -8.0, -9.0, -9.0, -9.0, -9.0, -8.0, -8.0, -8.0, -8.0, -8.0, -8.0, -8.0, -8.0, -8.0, -7.0, -7.0, -7.0, -7.0, -6.0]",132.97372658954276,-0.16822357719888045,0.83,0.62,12:33,Storms (ice; snow; etc),>200,CC GT units ,Gas,NY
141,2022-12-12 08:00:00,-7.0,"[-8.0, -8.0, -8.0, -8.0, -8.0, -7.0, -7.0, -7.0, -7.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -7.0]",116.04501181181519,-0.3177441104768135,0.81,0.77,02:04,Storms (ice; snow; etc),>200,CC GT units ,Gas,NY
142,2022-12-12 10:00:00,-8.0,"[-8.0, -8.0, -8.0, -7.0, -7.0, -7.0, -7.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -7.0, -7.0, -7.0]",116.61723025892803,-0.3126900701384206,0.83,0.84,00:45,Storms (ice; snow; etc),>200,CC GT units ,Gas,NY
143,2022-12-15 21:00:00,-1.0,"[-7.0, -11.0, -9.0, -9.0, -9.0, -10.0, -11.0, -9.0, -10.0, -11.0, -10.0, -10.0, -10.0, -9.0, -9.0, -8.0, -7.0, -5.0, -3.0, -2.0, -2.0, -1.0, -1.0, -1.0]",112.20009078253112,-0.3517038439981354,0.8,0.69,04:18,Storms (ice; snow; etc),>200,CC GT units ,Gas,NY
144,2022-12-16 08:00:00,0.0,"[-10.0, -10.0, -9.0, -9.0, -8.0, -7.0, -5.0, -3.0, -2.0, -2.0, -1.0, -1.0, -1.0, -1.0, -1.0, -2.0, -2.0, -2.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",43.585671586477744,-0.957731217218886,0.8,0.76,06:50,Storms (ice; snow; etc),>200,CC GT units ,Gas,NY
145,2022-12-16 01:00:00,-2.0,"[-9.0, -10.0, -11.0, -9.0, -10.0, -11.0, -10.0, -10.0, -10.0, -9.0, -9.0, -8.0, -7.0, -5.0, -3.0, -2.0, -2.0, -1.0, -1.0, -1.0, -1.0, -1.0, -2.0, -2.0]",89.96843718886947,-0.5480618513613367,0.65,0.61,06:14,Storms (ice; snow; etc),>200,CC GT units ,Gas,NY
146,2022-12-25 15:00:00,-12.0,"[-18.0, -17.0, -17.0, -17.0, -17.0, -17.0, -17.0, -17.0, -17.0, -16.0, -16.0, -16.0, -16.0, -16.0, -15.0, -15.0, -14.0, -14.0, -14.0, -13.0, -13.0, -13.0, -13.0, -12.0]",264.6510215822452,0.9947979295375836,0.79,0.0,38:00,Storms (ice; snow; etc),<100,Combined Cycle Block,Gas,NY
147,2022-12-12 07:00:00,-7.0,"[-8.0, -8.0, -8.0, -8.0, -8.0, -8.0, -7.0, -7.0, -7.0, -7.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0]",116.26887572561873,-0.31576686340206045,0.79,0.68,00:57,Storms (ice; snow; etc),>200,CC GT units ,Gas,NY
148,2022-12-16 08:00:00,0.0,"[-10.0, -10.0, -9.0, -9.0, -8.0, -7.0, -5.0, -3.0, -2.0, -2.0, -1.0, -1.0, -1.0, -1.0, -1.0, -2.0, -2.0, -2.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",43.585671586477744,-0.957731217218886,0.8,0.76,06:50,Storms (ice; snow; etc),>200,CC GT units ,Gas,NY
149,2022-12-15 21:00:00,-1.0,"[-7.0, -11.0, -9.0, -9.0, -9.0, -10.0, -11.0, -9.0, -10.0, -11.0, -10.0, -10.0, -10.0, -9.0, -9.0, -8.0, -7.0, -5.0, -3.0, -2.0, -2.0, -1.0, -1.0, -1.0]",112.20009078253112,-0.3517038439981354,0.8,0.68,04:18,Storms (ice; snow; etc),>200,CC GT units ,Gas,NY
150,2022-12-26 19:00:00,-9.0,"[-12.0, -12.0, -12.0, -12.0, -12.0, -12.0, -13.0, -13.0, -13.0, -13.0, -13.0, -13.0, -13.0, -13.0, -13.0, -14.0, -14.0, -14.0, -13.0, -13.0, -12.0, -12.0, -11.0, -10.0]",219.61855186223286,0.5970548654145279,0.88,0.0,01:04,Storms (ice; snow; etc),<100,CoG GT units,Gas,NY
151,2022-12-16 07:00:00,0.0,"[-10.0, -10.0, -10.0, -9.0, -9.0, -8.0, -7.0, -5.0, -3.0, -2.0, -2.0, -1.0, -1.0, -1.0, -1.0, -1.0, -2.0, -2.0, -2.0, -1.0, 0.0, 0.0, 0.0, 0.0]",49.74785426703244,-0.9033045904695952,0.77,0.67,00:50,Storms (ice; snow; etc),>200,CC GT units ,Gas,NY
152,2022-12-12 07:00:00,-7.0,"[-8.0, -8.0, -8.0, -8.0, -8.0, -8.0, -7.0, -7.0, -7.0, -7.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0]",116.26887572561873,-0.31576686340206045,0.79,0.68,00:57,Storms (ice; snow; etc),>200,CC GT units ,Gas,NY
153,2022-12-21 14:00:00,-6.0,"[-7.0, -6.0, -6.0, -5.0, -5.0, -4.0, -4.0, -4.0, -6.0, -7.0, -7.0, -8.0, -9.0, -11.0, -11.0, -12.0, -11.0, -11.0, -11.0, -11.0, -10.0, -11.0, -11.0, -10.0]",152.19130139933083,0.001512995931203102,0.78,0.0,02:35,Storms (ice; snow; etc),<100,CoG GT units,Gas,NY
