beta1,beta2,mean,lower_95,upper_95
0.39,-1.3427591080469483,0.00013592609320767224,5.240760674496414e-05,0.0002720060430874583
0.39796610169491525,-1.3427591080469483,0.00014134547382127494,5.579454718827037e-05,0.00028041822588420473
0.4059322033898305,-1.3427591080469483,0.00014700269093737006,5.857946562173311e-05,0.00028808299248339614
0.4138983050847458,-1.3427591080469483,0.00015290893497876823,6.181186490721302e-05,0.00029712225077673795
0.421864406779661,-1.3427591080469483,0.00015907599299680442,6.55272295261966e-05,0.0003056316912989133
0.42983050847457627,-1.3427591080469483,0.0001655162632232532,6.925883844814962e-05,0.00031335074309026825
0.43779661016949156,-1.3427591080469483,0.0001722426968626678,7.284445619006873e-05,0.000322877208236605
0.4457627118644068,-1.3427591080469483,0.0001792689727153629,7.659845668968046e-05,0.00033445406297687445
0.45372881355932204,-1.3427591080469483,0.00018660943896975368,8.040470638661645e-05,0.00034559613704914226
0.4616949152542373,-1.3427591080469483,0.00019427912775427103,8.457845342491055e-05,0.00035551644759834744
0.4696610169491525,-1.3427591080469483,0.00020229392976034433,8.896072195057059e-05,0.0003669964135042392
0.4776271186440678,-1.3427591080469483,0.0002106704341713339,9.351261251140386e-05,0.0003789873378991615
0.48559322033898306,-1.3427591080469483,0.00021942616149317473,9.861416856438154e-05,0.00039224591164384044
0.4935593220338983,-1.3427591080469483,0.00022857946169096977,0.00010401046365586808,0.0004075418015418109
0.5015254237288136,-1.3427591080469483,0.00023814970336388797,0.00010979166818287922,0.00042512540167081173
0.5094915254237288,-1.3427591080469483,0.00024815721553750336,0.0001146327014794224,0.0004428537678904832
0.5174576271186441,-1.3427591080469483,0.0002586233604233712,0.0001200253065690049,0.00045918030300526883
0.5254237288135593,-1.3427591080469483,0.0002695706207305193,0.00012615103987627662,0.0004805619537364692
0.5333898305084745,-1.3427591080469483,0.0002810226287692785,0.00013285734530654736,0.0005002461228286848
0.5413559322033898,-1.3427591080469483,0.0002930043265223503,0.00013952493209217208,0.0005198740240302868
0.5493220338983051,-1.3427591080469483,0.00030554182012565434,0.00014496322110062464,0.0005420845162007026
0.5572881355932203,-1.3427591080469483,0.00031866267090663314,0.000151732698577689,0.0005661608563968912
0.5652542372881356,-1.3427591080469483,0.00033239583717659116,0.0001577847866428783,0.0005912441163673066
0.5732203389830508,-1.3427591080469483,0.0003467719070613384,0.00016448309215775226,0.0006174626949359663
0.5811864406779661,-1.3427591080469483,0.000361822807462886,0.00017152803775388747,0.0006437991032726131
0.5891525423728814,-1.3427591080469483,0.0003775825025513768,0.00017979404001380316,0.000674021028680727
0.5971186440677966,-1.3427591080469483,0.0003940864698961377,0.00018712268720264547,0.0007032138717477212
0.6050847457627119,-1.3427591080469483,0.00041137225343845785,0.00019356220909685362,0.000733423067140393
0.6130508474576271,-1.3427591080469483,0.0004294792015571147,0.00020047732068633197,0.0007714552237302996
0.6210169491525424,-1.3427591080469483,0.0004484489618334919,0.00020862795536231716,0.0008131484792102132
0.6289830508474576,-1.3427591080469483,0.0004683253646362573,0.00021518867324630265,0.0008580048524891028
0.6369491525423729,-1.3427591080469483,0.0004891542484983802,0.00022199314407771452,0.0009004624982480891
0.6449152542372881,-1.3427591080469483,0.0005109842750243843,0.0002304198784258915,0.0009527245492790826
0.6528813559322033,-1.3427591080469483,0.0005338667542673647,0.0002391593348875176,0.0010075934347696604
0.6608474576271186,-1.3427591080469483,0.0005578553536906838,0.00024773137993179263,0.0010631814191583546
0.6688135593220339,-1.3427591080469483,0.0005830071168020368,0.00025640203821239996,0.0011153345520142465
0.6767796610169492,-1.3427591080469483,0.0006093818228691816,0.0002648500543728005,0.0011775392631534491
0.6847457627118644,-1.3427591080469483,0.0006370425107888877,0.000272262936050538,0.0012523777171736584
0.6927118644067797,-1.3427591080469483,0.0006660557701252401,0.0002806541968311649,0.0013274239434394985
0.7006779661016949,-1.3427591080469483,0.0006964918575249612,0.0002873885845474433,0.0014013870881171898
0.7086440677966102,-1.3427591080469483,0.0007284245803020895,0.00029651674849446864,0.0014732036477653311
0.7166101694915255,-1.3427591080469483,0.0007619319949299097,0.00030615525538451037,0.0015577278390992433
0.7245762711864406,-1.3427591080469483,0.0007970962324179709,0.0003159568354021758,0.0016450669703772295
0.7325423728813559,-1.3427591080469483,0.0008340041385963559,0.0003237941142288037,0.0017524607363156974
0.7405084745762711,-1.3427591080469483,0.0008727470994926989,0.0003329632389068138,0.0018538187781814487
0.7484745762711864,-1.3427591080469483,0.0009134216816164553,0.0003421796987822745,0.0019606337300501764
0.7564406779661017,-1.3427591080469483,0.0009561296319589019,0.0003508784633595497,0.0020728830830194058
0.764406779661017,-1.3427591080469483,0.001000978285446763,0.0003591058979509398,0.0021840448433067656
0.7723728813559322,-1.3427591080469483,0.0010480810888111591,0.00036995870468672367,0.0023268344171810903
0.7803389830508474,-1.3427591080469483,0.0010975573677569628,0.0003804908294114284,0.002461623545968906
0.7883050847457627,-1.3427591080469483,0.0011495334329083562,0.00039286397004616446,0.0026025222032330943
0.796271186440678,-1.3427591080469483,0.0012041423469781876,0.00040322655549971385,0.002765112597262488
