theta_0,sigma
1.4249431,1.3316888
1.2410697,1.5656494
1.3458334,1.5993215
1.7037984,1.2522492
1.5080696,1.3220894
1.3904549,1.3142223
1.332919,1.3471138
1.6693635,1.3205642
1.3481823,1.2405306
1.478696,1.4582868
1.5168877,1.332002
1.3576818,1.3186113
1.687814,1.4322084
1.6272616,1.5898789
1.7325624,1.6196438
1.3868105,1.3320061
1.6642858,1.2047341
1.7467604,1.2392241
1.7098774,1.2484038
1.3787566,1.3014531
1.3949065,1.5006028
1.6350211,1.3587551
1.3916566,1.5204146
1.5734093,1.488495
1.4380757,1.3958778
1.4872404,1.2563683
1.4797994,1.1920977
1.5865207,1.3174876
1.7345368,1.3234007
1.3830856,1.4553257
1.3070704,1.4718192
1.7513397,1.372462
1.2767451,1.3810537
1.6568205,1.3647661
1.3945808,1.3448114
1.550006,1.4252403
1.4993457,1.6214672
1.3509557,1.3420802
1.7166457,1.328768
1.3296506,1.4511769
1.4721377,1.3351979
1.5903556,1.4300548
1.4021101,1.361664
1.5674114,1.2043049
1.4590073,1.3116299
1.4926559,1.4730976
1.4359847,1.4386119
1.4405128,1.5781329
1.6790948,1.2781363
1.7911106,1.3107966
1.5579728,1.4219675
1.6126387,1.3066763
1.3539103,1.4720657
1.6764461,1.5944719
1.6772071,1.5901402
1.6860775,1.4721957
1.4636014,1.4347866
1.3992972,1.4199324
1.2350265,1.2679539
1.6153936,1.7272589
1.8016639,1.6327095
1.8140697,1.6341252
1.7980386,1.6133856
1.168695,1.3219818
1.497652,1.3206799
1.4679925,1.303719
1.5884504,1.446989
1.1741288,1.3977717
1.5542061,1.3535564
1.5542061,1.3535564
1.4240553,1.3763008
1.2994405,1.4176134
1.3741682,1.3339658
2.093115,1.5080013
1.5656488,1.3115869
1.7437507,1.5218632
1.4856724,1.5842214
1.9120941,1.6216952
1.3098502,1.2849491
1.6109948,1.544552
1.3326946,1.2794673
1.5645093,1.4537351
1.5641841,1.2222797
1.3372763,1.3933715
1.3248235,1.5526431
1.2703185,1.5675868
1.3665353,1.3442297
1.4781674,1.1511792
1.5415416,1.767765
1.4262166,1.8065969
1.4593611,1.7745726
1.6063416,1.5214102
1.4169699,1.2626258
1.6635549,1.5554236
1.6791958,1.3333648
1.3160954,1.39604
1.5974619,1.6682576
1.4311372,1.6840506
1.503507,1.5974176
1.6689885,1.2693903
1.5919454,1.2139516
1.6051964,1.2449912
1.6049902,1.3211689
1.4956403,1.477674
1.5215799,1.3710787
1.4164096,1.3799001
1.5974045,1.4219317
1.4929817,1.2649248
1.6784503,1.3265053
1.3503532,1.4196072
1.4954063,1.3981293
1.6194093,1.6557686
1.7315071,1.604852
1.6012993,1.5185883
1.5949993,1.5246472
1.3010011,1.4970195
1.3114971,1.6464608
1.5060785,1.6069133
1.3438619,1.3273094
1.404131,1.2976292
1.454823,1.3283477
1.5779256,1.4159958
1.4926671,1.4228883
1.5293393,1.5120157
1.4901506,1.2215104
1.3846471,1.3689163
1.3427643,1.3883566
1.8362921,1.4638448
1.5017416,1.4738467
1.2234799,1.4171019
1.2522322,1.3729925
1.200427,1.6970512
1.4004915,1.3278782
1.6065063,1.4524608
1.4193375,1.3458612
1.5048267,1.5044396
1.5734092,1.2057908
1.5885699,1.162155
1.5882518,1.5461864
1.0434432,1.5226674
1.2406197,1.5095656
1.6007961,1.4550002
1.4610666,1.4204264
1.7662514,1.4641851
1.4848552,1.4508053
1.5141147,1.3222446
1.3377613,1.3818133
1.7384067,1.2526225
1.4936887,1.249198
1.4023453,1.3081046
1.7056721,1.3486809
1.7300229,1.2769231
1.5817114,1.305137
1.4359449,1.2578499
1.4937751,1.2222452
1.6067659,1.3208911
1.4210435,1.4246037
1.3874443,1.3450918
1.4438578,1.2525346
1.541354,1.2844994
1.6367903,1.2225577
1.6852323,1.298298
1.4854721,1.5382807
1.6949798,1.4894991
1.5703499,1.5003614
1.4015859,1.4626548
1.53824,1.4079025
1.5975178,1.4182258
1.5708683,1.4254538
1.5557168,1.4900548
1.3910753,1.6319106
1.6125224,1.4003081
1.6153063,1.4451472
1.3653339,1.3611755
1.74342,1.3979559
1.2936947,1.3535402
1.7469826,1.3952646
1.2751004,1.367048
1.2331622,1.3538895
1.2674668,1.3851929
1.671855,1.3312755
1.6170212,1.5794901
1.7896273,1.5823269
1.596904,1.3176954
1.6005118,1.3569187
1.6269236,1.1445887
1.7427367,1.2013335
1.7360806,1.1757056
1.6942081,1.3124849
1.4897435,1.5598121
1.4724239,1.1602775
1.9114678,1.252188
1.0755887,1.5244613
0.9792837,1.4740732
1.680098,1.3076876
1.3735948,1.282486
1.56454,1.5734979
1.2577586,1.5962734
1.6505185,1.2182794
1.6103069,1.3520874
1.557399,1.308167
1.7089053,1.5001938
1.828743,1.7370319
1.2871957,1.2632053
1.7275304,1.3000077
1.5848705,1.1992981
1.514665,1.4040829
1.6246551,1.2264144
1.4545661,1.1160282
1.4557316,1.3380338
1.4567899,1.3424491
1.6938379,1.3655342
1.769581,1.305553
1.5571803,1.4111216
1.6580586,1.4086422
1.5654244,1.4250958
1.333622,1.191052
1.3251733,1.2438695
1.3260496,1.5803256
1.4861779,1.4900408
1.1704478,1.4408334
1.1051923,1.4289813
1.2936449,1.4484018
1.7000285,1.2837923
1.4109665,1.5144777
1.6195531,1.394192
1.3010906,1.4167567
1.774705,1.2435876
1.4758483,1.4569291
1.5750446,1.3144712
1.5470115,1.3824453
1.693481,1.426655
1.5159283,1.3570251
1.5066926,1.4282252
1.421706,1.4057959
1.5251918,1.6623902
1.4952577,1.6774818
1.5863204,1.5300636
1.6152527,1.378231
1.368245,1.3625315
1.1091554,1.4321815
1.0998614,1.4557041
1.2940236,1.4487382
1.6675042,1.359351
1.356763,1.395489
1.4841679,1.4102029
1.511371,1.3499426
1.4043884,1.1894729
1.6052061,1.2767241
1.3128284,1.4258003
1.5786918,1.5235178
1.5152452,1.5066783
1.3694798,1.478151
1.6421216,1.5985191
1.6797885,1.3558602
1.3359704,1.1113093
1.454624,1.2877378
1.7982014,1.3918264
1.6542711,1.2950969
1.5209125,1.2507563
1.4523109,1.5786841
1.5308223,1.4725026
1.4315531,1.3741822
1.742111,1.2618408
1.807185,1.2440896
1.1460657,1.5703737
1.8613935,1.2459407
1.2494333,1.687973
1.4557732,1.5631374
1.5086251,1.4828737
1.7186879,1.3922198
0.91100466,1.5154454
1.1886147,1.6293554
1.2716954,1.6650233
1.5092725,1.1324396
1.4757584,1.194248
1.7610799,1.3638442
1.4492738,1.3281367
1.6875658,1.3973552
1.5042223,1.5624474
1.3872263,1.5834885
1.6274325,1.2024208
1.4587793,1.1865904
1.6213589,1.255153
1.6983572,1.3815956
1.7868248,1.1983421
1.4285756,1.34437
1.5319239,1.5186929
1.5161484,1.5199094
1.5557389,1.3359618
1.3803773,1.4141793
1.3713758,1.36583
1.3651156,1.3789153
1.7446815,1.4295309
1.7409179,1.3807051
1.6773767,1.4211612
1.9457341,1.7037299
1.8595932,1.711895
1.4269516,1.2030556
1.7850376,1.4670506
1.499895,1.4284385
1.6009868,1.5883578
1.6928805,1.668718
1.4853185,1.2318642
1.5226979,1.3844721
1.4941353,1.3694193
1.4142157,1.4251978
1.6590164,1.5105817
1.5898755,1.4508126
1.4865242,1.283989
1.5519242,1.3893737
1.5547581,1.4516027
1.332094,1.37508
1.9832247,1.5002168
1.6614115,1.6414587
1.6425103,1.6625596
1.8791871,1.4083136
1.7379417,1.4536592
1.7590985,1.4799405
1.4309746,1.1409187
1.3713199,1.5110456
1.4051677,1.5030835
1.2585398,1.6370177
1.682327,1.4221213
1.7465748,1.3668154
1.3587554,1.417679
1.3950456,1.4192522
1.4689442,1.4536383
1.550512,1.2944678
1.6152452,1.5645704
1.4753022,1.250352
1.6912357,1.4053847
1.7306176,1.5052476
1.3026025,1.335576
1.3876078,1.3907679
1.2824734,1.3061501
1.5601811,1.424745
1.4179115,1.351686
1.3196898,1.4128842
1.6694542,1.3196685
1.513114,1.3206463
1.5383631,1.3168217
1.5242707,1.3993456
1.4196023,1.2050499
1.3716826,1.2301165
1.3854653,1.237331
1.4254493,1.1638609
1.7117451,1.3704596
1.8082004,1.5649477
1.5321871,1.3293314
1.3922259,1.2880305
1.3287269,1.2875035
1.7132629,1.4870782
1.3911235,1.303266
1.3825828,1.5319101
1.3778113,1.5098643
1.6252913,1.3791816
1.7024482,1.4995915
1.6960224,1.4147629
1.5569313,1.3110797
1.4927654,1.4443994
1.3384188,1.3701885
1.6990778,1.3742192
1.5578779,1.3918524
1.5149069,1.3360215
1.5770915,1.5314922
1.5693415,1.3751771
1.2045025,1.4435059
1.9210414,1.4573364
1.627494,1.403217
1.707626,1.6745617
1.7070339,1.6835783
1.4335577,1.1551456
1.4874678,1.1235424
1.3721772,1.5240778
1.4137621,1.4944406
1.5429736,1.442126
1.5420228,1.4108224
1.5844761,1.3009634
1.4806453,1.4771211
1.416951,1.2316785
1.7338995,1.1135511
1.3777401,1.3641145
1.6322728,1.2911378
1.3673376,1.4472386
1.5954355,1.3819845
1.5333407,1.4769572
1.5438428,1.2733164
1.5009664,1.2670327
1.4713157,1.3061936
1.4666911,1.5123703
1.6982653,1.324043
1.586765,1.5471499
1.4522617,1.4039865
1.5967362,1.4094524
1.3902549,1.4173222
1.608512,1.4134228
1.404309,1.2469575
1.6140428,1.3096353
1.3513353,1.3344479
1.3086845,1.3961847
1.8336806,1.3498526
1.6390803,1.3290169
1.3235022,1.4917257
1.4994513,1.2370241
1.2681386,1.6096385
1.2822664,1.625318
1.2727587,1.6398438
0.8148072,1.5040541
0.88398707,1.5544989
1.3322282,1.3855969
1.3682499,1.4878213
1.6239393,1.2986965
1.686727,1.2816002
1.317125,1.4279076
1.4565451,1.3242997
1.5203626,1.2843647
1.5796518,1.3231088
1.4707037,1.44681
1.5275991,1.6424589
1.5250617,1.657077
1.5111183,1.1536843
1.9218059,1.3065795
1.6877037,1.4733741
1.3676047,1.5721344
1.3609339,1.4954565
1.5215697,1.4114482
1.5495718,1.3476771
1.4849439,1.363078
1.5404602,1.3733759
1.5404602,1.3733759
1.4025111,1.3366151
1.5818892,1.426874
1.4634498,1.3838823
1.6029445,1.3361143
1.2814628,1.3234754
1.6576148,1.6112498
1.5997773,1.5090353
1.3621285,1.4101188
1.5473467,1.5341246
1.7107738,1.3667566
1.3071092,1.3962379
1.291693,1.3329979
1.5573696,1.4327338
1.4953704,1.5129476
1.4415449,1.2255701
1.229276,1.3457682
1.6716576,1.3845615
1.6221675,1.3060473
1.6226045,1.3025469
1.6093358,1.2845745
1.5797627,1.3505261
1.5797627,1.3505261
1.3680066,1.3157662
1.5116838,1.5179335
1.5350453,1.4103404
1.2591044,1.4074146
1.6575322,1.4745681
1.362797,1.3235693
1.3187484,1.3205199
1.7398176,1.2513698
1.5456444,1.2501447
1.4879233,1.5065904
1.6426227,1.545524
1.6161901,1.1771693
1.3525712,1.4201245
1.5986354,1.3492101
1.3127493,1.3606628
1.3371453,1.2786504
1.6173158,1.3359953
1.6032666,1.3731649
1.5392096,1.3532242
1.4520569,1.3792256
1.4511503,1.4076655
1.6356925,1.3388835
1.5623477,1.4657247
1.3838065,1.2548441
1.2371211,1.3028346
1.310983,1.3104237
1.2826793,1.4454161
1.1105623,1.3339916
1.465431,1.5988818
1.7609458,1.1821089
1.7071986,1.1759285
1.6423781,1.3520585
1.7595075,1.374875
1.5486652,1.646619
1.5406796,1.63238
1.53424,1.4231877
1.7870126,1.318542
1.3732823,1.3692961
1.6177539,1.5157225
1.4806614,1.3124297
1.2274995,1.3358712
1.2796866,1.5274794
1.2281895,1.5200565
1.7382157,1.296296
1.6190982,1.4387817
1.4605234,1.3270028
1.6106828,1.3250942
1.4185029,1.4197252
1.2658224,1.3920927
1.425772,1.4379025
1.5474088,1.5803635
0.97525597,1.4917247
0.9603841,1.4660585
1.0767839,1.4726341
1.1590897,1.4355371
1.2165331,1.5081481
1.6060085,1.4678695
1.5215628,1.4115659
1.6488433,1.4187672
1.3472406,1.3612471
1.5332581,1.4307874
1.7283154,1.5023837
1.3323178,1.4281428
1.6683037,1.3374432
1.2503142,1.3038372
1.8184888,1.465713
1.5479052,1.4453063
1.3410381,1.3668735
1.801375,1.4839619
1.922792,1.3930988
1.419698,1.6032382
1.4015535,1.4581351
1.4205719,1.44118
1.256685,1.5668614
1.4898298,1.2214751
1.7502996,1.4351177
1.3611844,1.2882661
1.7004043,1.4836338
1.726884,1.4804347
1.4244838,1.2532552
1.4990333,1.2472416
1.7145365,1.3702868
1.6472659,1.5019317
1.5844722,1.505712
1.4884099,1.2449199
1.6174291,1.2216622
1.3490832,1.4194524
1.4094018,1.2863153
1.7227554,1.3106277
1.6422542,1.3054434
1.4362692,1.482585
1.6104441,1.3418142
1.4461232,1.4124153
1.7893238,1.5446395
1.8132312,1.5669241
1.7893858,1.5452302
1.906818,1.3856746
1.854809,1.3927855
1.6361146,1.3179829
1.6010042,1.4520197
1.4852523,1.3094554
1.5499364,1.3872418
1.6068394,1.2675273
1.2391515,1.4984444
1.2927302,1.3726313
1.6171862,1.7249597
1.4805218,1.3548236
1.4805218,1.3548236
1.7757529,1.3308551
1.9943422,1.409492
1.9943422,1.409492
1.1377221,1.2559955
1.7884977,1.6460077
1.8076414,1.676549
1.6607914,1.4123496
1.6426305,1.5124573
1.516993,1.4780998
1.6692806,1.345845
1.4397404,1.4502501
1.5910282,1.322087
1.5000381,1.395343
1.6141642,1.4162917
1.5410118,1.4983468
1.5382373,1.4167626
1.4453981,1.1458861
1.5849578,1.4039063
1.5961591,1.4513752
1.5966638,1.4428526
1.4485075,1.3148636
1.550335,1.3089945
1.550335,1.3089945
1.5274347,1.4799938
1.6752174,1.1798877
1.5737362,1.2116925
1.4207697,1.2456195
1.498373,1.3217028
1.4949001,1.2883526
1.5717753,1.5254648
1.9084765,1.5626152
1.9040202,1.7352233
1.8189453,1.527895
1.3198909,1.3208103
1.4765686,1.4921557
1.3747286,1.4085754
1.9190099,1.3307037
1.1839017,1.3000184
1.6448174,1.3911891
1.4194409,1.3871144
1.716409,1.4055884
1.3284553,1.4032967
1.7372552,1.5639555
1.3398786,1.5334213
1.3957415,1.6722534
1.313116,1.5624273
1.2804565,1.6011944
1.6736239,1.3865675
1.6588469,1.46907
1.4473716,1.4173629
1.4403099,1.4509292
1.7619079,1.4277611
1.2525858,1.4495182
1.6964827,1.3818986
1.7211806,1.4377571
1.2253735,1.3182963
1.5629274,1.3633744
1.4970498,1.2127868
1.4072459,1.4568864
1.5228198,1.3356668
1.4132255,1.475399
1.3917704,1.593191
1.5049024,1.6414331
1.6536335,1.2134259
1.6333379,1.2304642
1.5790797,1.1298963
1.5592041,1.0558531
1.4645089,1.9091855
1.4394921,1.2071754
1.5942957,1.2500234
1.7094911,1.2179382
1.7013346,1.2000489
1.5438492,1.1298217
1.4887605,1.2725819
1.5640163,1.4435022
1.6923101,1.2847872
1.7736381,1.3605698
1.1391069,1.4323009
1.2612023,1.475802
1.6678017,1.5073472
1.3835857,1.2554622
1.5238426,1.2215668
1.3493382,1.2766618
1.7564299,1.4869878
1.4664868,1.3886249
1.4612103,1.3790746
1.5371367,1.3635259
1.7813306,1.3186584
1.4405379,1.5249181
1.5071386,1.2900774
1.4922242,1.4837108
1.4247156,1.6284069
1.5864112,1.1989925
1.5878019,1.2581047
1.3791022,1.3533959
1.6428689,1.4272766
1.7789291,1.3579735
1.4344786,1.4279617
1.6774756,1.4917988
1.6423721,1.5767435
1.845747,1.4647013
1.1801038,1.3764188
1.2502048,1.4436831
1.745617,1.7390656
1.455614,1.4587744
1.422624,1.1568816
1.4193892,1.1948128
1.6309408,1.2537601
1.5196216,1.2322142
1.5491425,1.4483422
1.5902056,1.3639402
1.4114693,1.5353649
1.1203634,1.434124
1.3633354,1.5683118
1.5934372,1.4405056
1.6577775,1.6644108
1.4675092,1.5098739
1.522889,1.2753961
1.4970412,1.4037585
1.4814614,1.2262264
1.4516077,1.2914453
1.4321008,1.2998499
1.2078214,1.3811082
1.4208254,1.4338279
1.6246039,1.3760204
1.666824,1.3506789
1.6781845,1.2525935
1.2400362,1.2793849
1.2885143,1.2942557
1.2510185,1.2667612
1.3331214,1.2768328
1.7151959,1.4844813
1.6586044,1.3379678
1.4986733,1.3150128
1.4816916,1.430373
1.5653799,1.4336295
1.8379481,1.254472
1.5303224,1.2916294
1.736773,1.4797132
1.2327522,1.3320141
1.6647681,1.5681107
1.2199513,1.403182
1.4196036,1.3983239
1.5689493,1.3527578
1.7676581,1.411241
1.2706904,1.250479
1.3784041,1.417773
1.482645,1.5336578
1.4091198,1.6257094
1.3720682,1.3103161
1.7123395,1.3772757
1.3339901,1.3292145
1.7028545,1.4746974
1.2440428,1.3790386
1.503598,1.3880779
1.6150472,1.3060453
1.4350154,1.4374936
1.5137213,1.5198934
1.4773426,1.5954592
1.7011331,1.3800884
1.6329535,1.333033
1.651068,1.3259976
1.6173737,1.1518393
1.5069171,1.5035527
1.3167791,1.5016435
1.3457091,1.5323032
1.3338978,1.4687487
1.4289851,1.5122867
1.5738795,1.3114694
1.6307034,1.3572458
1.5549889,1.4404685
1.506359,1.6016054
1.3809581,1.2642025
1.4287299,1.3044504
1.3737355,1.4628768
1.5233303,1.248071
1.4721472,1.547264
1.3781679,1.5900999
1.6630408,1.2636323
1.4046129,1.3560052
1.6137234,1.4820627
1.4032537,1.3064739
1.7758179,1.403415
1.4372674,1.3234792
1.6111262,1.4149961
1.438157,1.339688
1.5568599,1.4668384
1.4745284,1.3343661
1.5058304,1.2322693
1.4743963,1.6340356
1.5867481,1.1580234
1.4978851,1.2388929
1.449694,1.3764521
1.2525742,1.5270585
1.4780788,1.1671445
1.4488068,1.1463743
1.6047803,1.6769093
1.4497803,1.1416758
1.6857501,1.4950379
1.9835975,1.3235626
1.8127096,1.4208922
1.6471128,1.2962947
1.379505,1.4524814
1.660759,1.4314265
1.6867092,1.3218331
1.3566548,1.4694996
1.7578652,1.4387859
1.2912167,1.3143888
1.6669664,1.4383374
1.3731364,1.3112912
1.6424973,1.4298031
1.654802,1.453698
1.5127109,1.2204235
1.4784174,1.5916557
1.8068677,1.3558886
1.7735575,1.4153368
1.2733774,1.3450018
1.398727,1.4380803
1.6580884,1.358048
1.824091,1.1683505
1.6110486,1.5485811
1.3819225,1.4168764
1.5044918,1.4315023
1.5489324,1.4885259
1.4261721,1.3062434
1.3699722,1.3054972
1.7037084,1.2981184
1.3123485,1.4637823
1.4428316,1.5342377
1.5473757,1.4002742
1.6849433,1.4044747
1.5025369,1.3976882
1.4267055,1.3057299
1.7727666,1.3265383
1.5259023,1.370172
1.7259967,1.4447713
1.6520861,1.3892069
1.4524639,1.4106156
1.7136989,1.4135417
1.7393175,1.4080801
1.688922,1.4469182
1.7209436,1.3400526
1.6729112,1.229485
1.5413995,1.145551
1.3790658,1.1956155
1.607937,1.3285009
1.4572057,1.2509948
1.5824418,1.2569246
1.4479737,1.3296083
1.6826913,1.5126793
1.8776544,1.3508854
1.5735463,1.3952549
1.5328575,1.415097
1.5328575,1.415097
1.5186007,1.3442309
1.5043896,1.4224204
1.4423187,1.318965
1.4840666,1.4032892
1.7575793,1.4387968
1.623026,1.7054973
1.8984867,1.6790221
1.261657,1.2073009
1.4028625,1.3624928
1.4533491,1.4806638
1.590476,1.4731255
1.5592409,1.243277
1.5109426,1.391528
1.3765764,1.3255079
1.3928038,1.3038383
1.4105792,1.4791603
1.5641837,1.3327895
1.5513078,1.5664423
1.7229236,1.6410083
1.7274029,1.7154288
1.4524299,1.5866553
1.8021228,1.5791852
1.8721507,1.5954335
1.1379697,1.3462608
1.8985964,1.4345648
1.9271977,1.5317135
1.0454638,1.3425511
0.98068607,1.301264
0.98068607,1.301264
1.8822281,1.389356
1.1279523,1.5113097
1.3711131,1.3521696
1.5296987,1.2960243
1.2112591,1.4052899
1.4540672,1.4164984
1.5537324,1.4998224
1.6568824,1.5053946
1.615421,1.1967863
1.4301019,1.245028
1.632175,1.3500018
1.7257217,1.2100902
1.4414362,1.1747059
1.4651064,1.4117675
1.4116834,1.5199177
1.5355766,1.2969087
1.5254836,1.5437057
1.5516331,1.5416543
1.5781739,1.5954546
1.5219927,1.4248774
1.5271125,1.7181184
1.5873919,1.1640141
1.5191512,1.4199362
1.3628708,1.3527634
1.3145814,1.3796011
1.6014163,1.4408648
1.6649069,1.4414659
1.8779978,1.5330955
1.7781984,1.5323217
1.7739791,1.5144572
1.2506255,1.2803034
1.7908131,1.4564415
1.6624373,1.5174965
1.860823,1.591718
1.767477,1.6099335
1.5817201,1.2964447
1.3774366,1.4108024
1.2376169,1.3849002
1.3106655,1.6287384
1.5949168,1.702072
1.4443299,1.1820604
1.6000353,1.5612755
1.5684438,1.7303364
1.4431812,1.6580341
1.3281426,1.4952912
1.7056974,1.2727001
1.5825428,1.4265974
1.6058306,1.2438389
1.6136976,1.3226334
1.5787709,1.2728032
1.3901376,1.5371665
1.4609952,1.6024903
1.4318722,1.3722806
1.5731326,1.4575408
1.7545227,1.450637
1.6711615,1.4706335
1.3167028,1.5945216
1.5837421,1.4299726
1.6153201,1.4168594
1.473323,1.2481468
1.5917965,1.1432152
1.6147206,1.201906
1.6004246,1.160536
1.5722711,1.1947968
1.7504765,1.2011268
1.9899954,1.3631889
1.4834208,1.4815265
1.4420047,1.2193167
1.4403008,1.1782007
1.3955132,1.5978012
1.5037532,1.2867862
1.4599434,1.4704499
1.3396482,1.3382039
1.453712,1.6513959
1.5776024,1.3759122
1.374624,1.3837934
1.4685609,1.3597281
1.6035078,1.470866
1.1267121,1.3686037
1.7467827,1.3461733
1.7102039,1.3200355
1.5270286,1.4384991
1.5115132,1.2799963
1.447679,1.3654505
1.5732255,1.3161225
1.5213008,1.4385855
1.3159983,1.4423904
1.0717136,1.2832285
1.1530012,1.2456899
1.2076498,1.2900391
1.2060843,1.2891436
1.2788634,1.3214241
1.2753669,1.3739169
1.115389,1.2164991
1.3603493,1.190367
1.9444962,1.5795903
1.0807949,1.2657266
1.5114975,1.6619314
1.3678634,1.2233441
1.5305135,1.2839528
1.7827634,1.5590407
1.6505344,1.3896011
1.6575915,1.4687912
1.2521288,1.454216
1.5176644,1.4596369
1.589569,1.3365391
1.5829604,1.3958623
1.5673566,1.475066
1.4642698,1.4027807
1.3699082,1.2607843
1.6179928,1.353344
1.7642294,1.5067219
1.7680737,1.6457455
1.2949289,1.2095249
1.3360019,1.2266006
1.5085177,1.4926506
1.7627686,1.3709583
1.8113574,1.3541124
1.4282345,1.3004143
1.596857,1.2582347
1.5501235,1.4468
1.6219285,1.2919378
1.5794251,1.2326679
1.4609443,1.2157443
1.5142826,1.2189553
1.4514376,1.4264827
1.5161177,1.3926905
1.3148756,1.1446314
1.3699903,1.204134
1.7087612,1.3634604
1.4507691,1.4733508
1.9296426,1.232106
1.2673198,1.7414818
1.4887828,1.2890015
1.6433787,1.5636092
1.6617742,1.2902793
1.445088,1.494747
1.3931069,1.4684017
1.2710727,1.3319858
1.3761847,1.2143654
1.4353011,1.2253006
1.2307905,1.3258286
1.2080717,1.4636909
1.1915989,1.4445182
1.5591936,1.2829646
1.2820907,1.2711983
1.700787,1.2896233
1.5098934,1.4423995
1.6304412,1.3221874
1.5294331,1.4101343
1.4919477,1.2987602
1.5667188,1.396738
1.5045033,1.3125064
1.7133914,1.3379683
1.3267635,1.4290783
1.4761628,1.4627416
1.3875009,1.3784668
1.6478039,1.3629115
1.4704732,1.4127684
1.4384685,1.267567
1.5371468,1.4739199
1.682715,1.5001724
1.6548519,1.3954641
1.7564185,1.4120737
1.7293403,1.2721156
1.4126557,1.5897379
1.5217694,1.5563135
1.4518505,1.2312124
1.3391349,1.4528772
1.5269105,1.4525157
1.5270245,1.3145316
1.521655,1.2588807
1.5827141,1.3873222
1.4397321,1.5464638
1.0824982,1.5883518
1.543798,1.4364507
1.4633378,1.3224807
1.6588123,1.2786949
1.6647023,1.3282226
1.6052674,1.3955576
1.6325893,1.355945
1.4550617,1.3850948
1.5795127,1.3547342
1.5290834,1.4249432
1.560826,1.2580352
1.4343585,1.4818072
1.2663807,1.3915505
1.7629205,1.3265506
1.6414453,1.5534405
1.6638714,1.5706347
1.6511073,1.5477816
1.7152044,1.4980439
1.6132702,1.4028071
1.3747665,1.304552
1.4082524,1.318685
1.6272373,1.4288166
1.4366633,1.2401334
1.6340472,1.2622461
1.5767552,1.4221323
1.6424392,1.5149677
1.6590598,1.4876769
1.5152658,1.57253
1.4769258,1.2302394
1.4194053,1.4259096
1.632391,1.2938324
1.4227283,1.3359252
1.5239744,1.3581879
1.2834324,1.5520008
1.399714,1.537353
1.5537177,1.2715305
1.5694537,1.5508107
1.4872342,1.2757277
1.3589746,1.3281816
1.7396737,1.4924788
1.286971,1.2947245
1.8369795,1.5121999
1.7844741,1.5017238
1.6487916,1.4680297
1.3298768,1.4028308
1.7641327,1.352931
1.4062798,1.3150471
1.3550073,1.6725831
1.4307908,1.6338029
1.4498938,1.1444428
1.6637956,1.3618891
1.4829906,1.2683697
1.501837,1.4978671
1.2582704,1.3089045
1.7383454,1.4537547
1.3989731,1.3759439
1.3453903,1.2635374
1.4912382,1.417444
1.4193062,1.2363573
1.3345339,1.3354383
1.5014371,1.2875575
1.4995791,1.4136142
1.4618286,1.432614
1.4618286,1.432614
1.5369091,1.3799136
1.4381282,1.2527212
1.5824631,1.3724701
1.4787725,1.1718935
1.5496279,1.2461778
1.3307173,1.2766795
1.4077421,1.4128338
1.5272152,1.4099226
1.4845339,1.4171665
1.2597098,1.286312
1.8104177,1.4975965
1.6491892,1.4857078
1.6328335,1.4584398
1.096438,1.4384915
1.2608358,1.3597262
1.2140591,1.3797228
1.179981,1.4431545
1.150732,1.5887535
1.1475239,1.6028521
1.8103983,1.2338731
1.4676448,1.5507743
1.7601773,1.5621576
1.3136263,1.2354922
1.2822317,1.2410266
1.3455024,1.1800439
1.5651406,1.2323066
1.4915862,1.2988845
1.4477149,1.4778349
1.4701285,1.3346715
1.4345394,1.3400345
1.6141489,1.4064374
1.5192053,1.4003444
1.6166214,1.3546815
1.6194049,1.3145736
1.5308152,1.448847
1.5740049,1.2064961
1.4215924,1.5934849
1.3026085,1.504502
1.470795,1.3244029
1.478943,1.4902072
1.762928,1.3530796
1.6542377,1.1704023
1.3724685,1.4058557
1.4540714,1.4865174
1.291799,1.5885184
1.2328389,1.3478005
1.3486961,1.2959526
1.7068939,1.46679
1.282682,1.3202165
1.282682,1.3202165
1.8809525,1.4467214
1.49704,1.5941616
1.5624143,1.2044647
1.678537,1.4717671
1.5844128,1.4505213
1.5846606,1.4608662
1.5956457,1.4967682
1.7153596,1.4656008
1.5243279,1.4979057
1.4615045,1.3961774
1.4533165,1.3994142
1.3647343,1.4799769
1.4074864,1.4265969
1.6470519,1.4326609
1.3766234,1.4729192
1.3784201,1.3611083
1.7962515,1.6495467
1.899349,1.5732136
1.0991718,1.4059641
1.6893276,1.5639836
1.8857464,1.6028727
1.7653246,1.465963
1.6814942,1.3196965
1.3360696,1.4013144
1.5642622,1.3547795
1.5503643,1.2707752
1.5943083,1.3755538
1.4154923,1.4266741
1.6419072,1.2991798
1.6408968,1.4291114
1.7376603,1.3074522
1.8170092,1.2446948
1.7005036,1.2014034
1.5209839,1.5778279
1.4221717,1.6254811
1.7298943,1.2694206
1.5619143,1.1918948
1.5676388,1.1900326
1.352183,1.3883865
1.6807792,1.3582551
1.4128305,1.4149685
1.3922094,1.5784949
1.4901333,1.6931858
1.3136586,1.2542423
1.643759,1.3975012
1.6934899,1.3037935
1.4108338,1.2793795
1.6384194,1.4738674
1.6148338,1.3831189
1.7286991,1.3676326
1.5177641,1.5097599
1.7187332,1.2846016
1.6727539,1.4885869
1.4568895,1.3540196
