theta_0,theta_1,sigma
0.1619965,1.3391252,1.1055027
0.6719303,0.20426579,1.0809678
0.63488233,0.20150119,1.0911962
0.11526129,1.9435858,1.1175916
0.04312794,2.0126462,1.2833202
0.2212506,1.532625,1.0241835
0.13224995,1.2005043,1.0919535
0.21602213,1.5906626,1.1161138
0.30464324,0.58018285,1.0612001
0.27751297,1.0613688,1.0025486
0.23088455,1.3635211,1.002491
0.14164665,1.2906638,0.92104477
0.26140273,1.161647,0.97307545
0.031639457,1.7356112,1.0043687
-0.16348888,1.897934,1.3431613
-0.049575932,1.9978352,1.1285667
-0.14284812,1.9219357,1.1389681
0.36214355,1.4858495,1.0746448
0.33403096,1.0593661,1.0680578
-0.01369538,1.4047421,1.1829536
-0.1956132,2.394457,1.1457958
-0.17113344,2.6063693,1.1739506
0.08389631,1.9901792,1.1874535
-0.15336934,1.5934681,1.1942091
0.0392511,2.0884225,1.2097403
-0.06969614,1.6791083,1.0909644
0.41652146,0.9283371,0.9907654
0.33188775,0.7906455,1.0201741
0.21591978,1.245152,1.035245
-0.20685034,2.240809,1.2034514
-0.04269824,1.7722,1.2119758
0.8099907,-0.7678917,0.99615985
-0.046643052,1.1850216,1.2849026
-0.100309335,2.0821877,1.2391791
-0.12094703,1.7156122,1.2974006
-0.0022991265,1.5244914,1.1908681
-0.2171948,2.2391613,1.0168028
-0.4032492,2.787024,1.033597
0.60009104,0.72708374,0.95763814
0.06546535,1.732066,1.6802025
0.060742673,1.8136384,1.6063883
0.4957553,0.32318497,0.8552059
0.55326194,0.46664068,0.9543746
0.3828282,0.8633904,1.0188563
0.2872608,1.4255316,1.1174101
0.12969357,0.8535552,1.1535612
0.6552519,0.65074,1.1604552
0.114804156,1.6204574,1.023613
0.016630357,1.6834387,1.153838
0.2091525,1.8380573,1.1223882
-0.12118634,2.107472,1.1250279
-0.0006422814,1.8768289,1.1377417
0.4621149,1.1101712,1.0683359
0.4973447,0.28703272,1.0031658
0.3881467,1.0987428,0.9969881
0.43119183,0.80033106,1.1248065
0.7122187,0.74676603,1.1275012
0.20564026,0.47354347,1.1932728
0.25147584,0.9486724,1.2152832
-0.028900012,0.7637347,1.2355117
-0.05922465,1.370832,1.2641354
-0.036131587,1.444784,1.2404659
-0.03444388,1.5885348,1.2112782
-0.09712876,2.1533291,1.1792772
-0.25440973,2.4307752,1.3327667
-0.4797244,2.4576755,1.3716784
-0.054556556,1.2639794,1.1980246
0.4228673,0.43514463,1.1233102
0.49951056,0.21215017,1.2847587
-0.23617944,2.1443682,1.0847603
-0.17968702,2.1282396,1.2699795
0.01883871,1.5215837,1.0245227
0.2616237,1.3326437,1.2025408
-0.032989457,1.5086344,1.1946621
0.6573247,0.5102043,1.0609652
0.6488923,0.22959809,1.03599
0.61664516,0.2861348,1.119024
0.16942276,1.2204171,1.1432872
0.30036062,0.5111399,1.2474375
0.33491722,1.5938377,1.311811
0.4048129,1.0997095,1.2180237
0.2774339,1.4191772,1.165911
-0.111134626,1.5929424,1.1118214
0.20420659,1.6063433,1.0702374
0.03359821,1.7567759,1.2100456
0.2593754,1.0021536,1.106922
0.023911744,1.7453134,1.2288588
0.35592648,0.76311743,1.1586456
0.06281403,1.7432323,1.0630928
0.322536,0.6936112,1.1356406
0.17735647,1.4269918,1.0212145
0.21040012,1.1994175,1.0525403
0.04468439,1.964933,1.0239444
0.033334803,1.5378797,1.0487365
0.08891981,1.4482375,1.0761985
-0.13946167,1.6035947,1.2414584
0.37478486,1.0769793,1.043644
0.012455336,1.4227768,1.0981262
-0.080508284,1.4859034,1.1714344
0.23503706,1.4788487,1.0444491
-0.085121736,1.5852098,1.223845
-0.10254753,2.6223454,1.2416433
-0.22309469,1.7555375,1.2467676
-0.245568,1.7559007,1.249127
-0.03167761,2.242715,1.2162734
-0.21146028,1.5224065,1.191015
0.077673614,2.4889657,1.1655539
-0.08453295,2.4354203,1.2221715
-0.07304514,2.3137686,1.2061386
-0.04971706,1.528539,1.058582
0.08234072,2.0362284,1.2379792
0.24350318,1.0731122,1.0085405
0.037900608,1.6769667,1.0679897
0.9064713,-0.7392854,1.2745459
1.1302775,-0.82920426,1.2033007
0.8037904,-0.39520982,1.2150072
-0.16585909,2.3359,1.1114653
-0.0703644,1.8759117,1.3445466
-0.11143592,2.2289426,1.1909511
0.032917313,1.8293312,1.1577032
0.24741045,0.9354331,1.1058159
0.4030911,1.1701467,1.1601093
0.11538279,1.0301489,1.190623
0.15758963,1.3541771,1.219712
0.1806467,1.3091325,1.2347928
0.1467561,1.2195058,1.1552767
0.35881227,1.1401076,1.1576297
0.010289855,1.8231205,0.980343
-0.07688777,2.1439896,1.2140533
-0.10442058,1.6645733,1.4417093
-0.25370347,1.6852058,1.416086
0.031893097,1.8848116,1.3592916
0.035193518,1.2875513,1.284957
0.457361,0.72416174,1.3102751
0.537098,0.32070994,1.1709313
0.2670105,0.74968994,1.0168239
0.037416272,1.0340186,1.0878477
0.7602887,0.6314122,1.1539197
0.3169856,0.22225493,1.1400621
0.20914535,0.5005098,1.0912812
0.4813023,0.69939494,1.2891618
0.35015517,0.72318333,1.0858488
0.18998884,1.0187128,1.2172
0.33516768,1.1932013,1.1721487
0.4485822,0.69920933,1.1256433
0.5726587,0.19027865,0.9676924
0.4369743,0.796185,1.019686
0.61985034,0.12983128,1.0464282
0.4761069,0.027883772,1.1601199
-0.1415199,1.913645,1.1010262
0.49678588,0.63764143,1.1071565
0.30174726,1.026173,1.0362355
0.21776815,1.290897,0.96809435
0.371052,0.80404836,1.2419835
0.18330915,1.2213577,1.297739
0.49594918,0.8358375,1.0115182
0.8933077,-0.18242767,1.2430223
0.6746726,-0.2019766,1.1459539
0.7566236,0.33464178,1.165099
0.71248275,0.2622584,1.1598212
0.06680976,2.056794,1.2183669
-0.06514742,1.7253574,1.2195437
0.21581419,1.1627518,1.2918382
-0.17543612,2.2514858,1.1939086
-0.20594727,2.1783645,1.2194791
0.5846034,0.2733959,1.1623434
0.38785908,1.0522346,1.1911072
0.14691913,0.9240484,1.0361757
0.36621556,1.3355763,1.0068516
0.6317052,0.79155624,1.145926
0.34402063,0.27090603,1.1932302
0.35847092,0.19715387,1.2441967
0.68067086,0.43387058,1.2774234
0.37606287,0.886677,1.3008205
0.52489287,0.6425906,1.1362801
0.53751737,0.47801816,1.1446973
0.2096657,1.360508,1.1988971
0.32234636,1.0102046,1.1177056
-0.04663104,1.7408677,1.2664465
0.5377655,0.3898638,1.0476495
0.7797677,-0.14595161,1.3187753
0.7219956,0.0050650295,1.1833348
0.5709687,0.26912555,1.1165754
0.5569024,0.32030267,1.0973316
0.5683149,0.11196634,1.0470719
0.5683149,0.11196634,1.0470719
0.46547654,0.8408168,1.1763203
0.47408605,0.41897336,1.1646119
-0.043202974,1.7532392,1.1323243
0.70694935,0.17632471,1.0934376
0.76532793,-0.124831796,1.0643713
0.7030873,-0.08950975,0.98425925
0.7908599,-0.06066195,1.0306358
-0.20962358,1.9624562,1.2001882
0.042802736,1.6830541,1.0561414
-0.06823657,1.5585407,1.0697052
0.2067759,0.9818714,1.1473758
-0.09026541,1.64538,1.2109826
0.18052295,1.8054197,0.9550217
0.18052295,1.8054197,0.9550217
-0.42986467,2.7099652,1.1879891
-0.23898104,2.3030717,1.1652397
0.22920379,1.3069092,1.2200328
0.055034548,1.4827943,1.0701809
0.0131345065,1.3896613,1.1669066
0.24589524,1.1483586,1.0383176
0.16827303,0.9214599,1.0303234
0.3928501,1.133209,1.1320419
0.15773468,1.0928593,1.1465577
-0.19619986,2.1600256,1.0145078
-0.2060075,2.7254505,1.0710261
0.5010993,1.4074945,1.2103841
-0.18784407,1.3605411,1.2820419
0.26976046,1.7525654,1.1864753
0.17713965,1.4876994,1.2015374
-0.26273525,1.4270859,1.2788998
0.5686327,1.3420831,1.2197363
0.3800825,0.8342845,1.2585366
0.058171958,1.514104,1.2077978
0.024451885,1.6490941,1.2332116
-0.047720388,1.8625518,1.2420511
0.12663712,1.5322661,1.1062344
0.38180825,0.9844046,1.1708099
0.65862733,0.0905705,1.1876835
0.07836389,1.4187143,1.1599716
0.20185544,1.255187,1.2388426
0.23596062,1.113852,1.1019754
0.03026402,1.1421156,1.1228297
0.46819574,0.88118285,1.2997975
0.36085296,0.85400087,1.1891729
0.06333895,1.5882914,1.1617616
-0.312366,2.0433223,1.2421426
-0.22235444,2.4750152,1.2751342
-0.017064,1.5344503,1.1012198
0.016778572,1.9537615,1.0447283
0.017404139,1.651197,0.9381623
0.2018664,1.326704,1.0695502
0.15603878,1.6298553,1.1373476
0.16022114,0.95387244,1.1065475
0.3257139,1.1258737,1.0899498
0.35687104,0.05029814,1.1216227
0.36501285,0.751624,0.9920689
-0.0020022125,1.6034154,1.1216391
0.16046487,1.0667915,0.9657479
0.1754235,1.0339367,0.96349937
0.5485635,0.6159784,1.1688572
-0.056080088,1.6619884,1.313019
0.110625684,1.4708483,1.001409
-0.08485677,1.9440144,1.1721578
-0.11325817,2.113326,1.3722789
-0.12565279,2.1718843,1.3618201
-0.121225856,2.164411,1.3476031
0.61063486,0.35698405,1.1245928
-0.049139492,1.2630277,1.2792416
0.56694484,0.47691315,1.1846614
0.5597992,0.54273045,1.3002956
0.35438424,0.67869824,0.94555324
0.06823397,1.3884025,1.0965089
0.060483452,1.4735845,1.0853462
0.3679276,1.1586183,1.0716296
0.34687346,0.6049657,1.1387721
0.5371465,0.62468815,1.053774
0.45795304,0.8485656,1.0419399
0.21300568,1.4833624,1.1097114
-0.18993688,2.8849525,1.0894436
-0.27941442,1.5865957,1.1606958
0.22725132,1.2847912,1.2956187
0.07543539,1.6193342,1.270652
0.17848168,1.2029377,1.0913494
0.21579042,1.7148601,1.1015184
0.32174575,1.1254604,1.0815932
0.49272528,0.4274144,1.069
0.6678312,-0.004785299,1.14333
0.16345705,1.2667689,1.1899784
0.6600972,0.04683219,1.1696157
-0.103507295,2.3852897,1.0628792
-0.058945794,2.191323,1.063876
-0.0035354088,1.9416443,1.1425884
0.38622472,0.5924896,0.98863345
0.36733216,1.1310072,1.0575529
0.043539487,1.8580412,1.0723516
0.06291906,1.4126308,1.0197521
0.06072686,1.4910439,1.2781736
0.1254809,1.6122274,1.2286999
-0.061491065,2.1239724,1.120772
0.38532197,1.1341176,0.95264906
0.34726855,1.1097817,0.96931684
0.16272588,1.249492,0.9012538
0.29575646,1.0629293,0.83629066
-0.005496715,2.153689,1.2586658
0.11170076,2.149689,1.2908036
-0.05560126,1.6481311,1.2252842
0.74731934,-0.25581914,1.0984375
0.9376516,0.21809646,1.3150289
0.8589531,-0.2562827,1.3730206
0.04251019,1.7972472,1.0460442
-0.19877599,1.5190562,1.019792
0.6346254,0.079557754,1.3019683
0.5853868,0.052455325,1.2937019
0.6996291,0.11100891,1.3004941
0.44450065,0.4896874,1.0194378
0.4644202,0.30283657,1.0158302
0.49299154,0.40660548,1.0796833
-0.0843511,2.1475852,1.2121197
-0.13535662,1.7470293,1.2524234
-0.08766456,1.7158052,1.2535206
0.01028759,1.2320683,1.2309917
0.32864735,1.3530626,1.2218382
-0.14478637,1.6628449,1.0941656
0.116711915,0.9886769,1.2284136
0.33671826,0.97453564,1.211216
-0.07310269,1.6782618,1.2009833
0.4115313,0.9252818,1.0140085
0.48440468,0.44109544,1.014327
0.31762666,0.7970074,1.0557604
-0.0055149156,2.3521814,1.204552
-0.42306826,1.7478155,1.3151339
-0.006015771,2.6377988,1.3107371
-0.024290059,1.1206609,1.0632203
0.67310154,-0.39875287,1.1681452
0.4073667,1.2147334,1.1250266
-0.05975234,1.591388,1.1531547
0.007353629,1.1606839,1.1216757
0.06899011,1.4820577,1.0727248
0.026435643,1.4006735,0.9968263
0.051111106,1.8035784,1.2588078
-0.09437159,1.584466,1.1956184
-0.091023944,1.4480284,1.0529448
-0.14331633,2.003135,1.0207609
-0.11315523,2.3300328,1.0634656
-0.1430168,2.0941155,1.2241462
-0.32398272,2.4832609,1.1163983
-0.32398272,2.4832609,1.1163983
0.6730353,-0.062173117,1.2158637
0.8048208,-0.18286745,1.2593341
0.6686279,0.24308051,1.0684458
0.6093618,0.43708256,1.0525858
0.11028038,1.8947941,1.2242945
-0.2870392,2.2229125,1.3882315
0.61680394,0.6310285,1.0018632
0.49046823,-0.2086997,1.1333879
0.5508497,0.21290965,1.1261874
0.03930383,0.941693,1.0101255
0.14584443,1.837399,1.0974288
-0.49042958,2.415178,1.2843084
-0.32382846,2.7612176,1.3374712
-0.16124018,2.065728,1.2726446
-0.014507844,1.718864,1.1600404
0.2601734,1.516487,1.0650325
0.19802904,1.196494,1.1109838
0.033612695,2.5425994,1.2021605
-0.08032383,1.8930094,1.2116516
0.082581066,1.5430357,0.97897077
0.14838795,1.1011338,1.486706
0.17409256,1.1362169,1.5039577
0.6231498,0.52200747,1.2853613
0.8229043,-0.7438856,1.3878767
-0.12665339,1.8484715,1.2088275
0.14895037,1.4889463,1.0257685
0.14431645,1.4686645,1.0008733
0.819339,-0.13027194,1.1204367
0.28273058,1.171649,1.2068214
0.21774583,0.53085905,1.3039374
0.23353799,1.6760008,1.3256842
0.10836421,1.4705139,1.1768379
0.3690341,1.331233,1.1399735
0.44098884,0.34525535,1.1565814
0.34003884,1.1830113,1.2084209
0.3925488,1.1533189,1.1983815
0.46081343,0.39272028,1.2417289
0.23354658,1.3494302,1.1067964
0.31967345,1.4034119,1.0707033
0.061763488,0.97382104,0.9699345
-0.06689427,2.3020859,1.2012452
-0.18565044,2.0154827,1.1470095
-0.32334784,1.9395738,1.1412843
0.37425286,0.9875338,1.0431428
0.41354316,0.8247232,1.1447811
0.6433489,0.20986369,1.0986649
0.69074905,0.23917605,1.1380756
0.6528763,-0.06554733,1.2036496
-0.14652084,1.9344648,1.0850515
-0.015192487,1.8887794,1.0983536
-0.0509702,1.7555413,1.2070954
0.07632746,1.4911832,1.3058953
0.1148679,1.3440655,0.972775
-0.033303022,1.6155307,1.0957466
-0.18714686,2.2883832,1.1377008
-0.18714686,2.2883832,1.1377008
-0.06746929,1.7202667,1.0901998
0.25158224,1.6048938,1.1397614
-0.08744134,1.4373354,1.2201333
0.15114516,1.56163,1.206767
-0.30785593,2.843392,1.1505811
-0.29339325,2.2841659,1.0838629
-0.329527,2.296694,1.0400907
-0.10919072,2.1181545,1.1835116
-0.84814763,3.8605382,1.5212119
-0.5682641,3.3726692,1.3880455
-0.20711695,2.4349098,1.3360038
-0.16119677,2.4482687,1.3813378
-0.14284629,1.7833581,1.0717593
0.63235366,0.15790752,1.0741531
0.467358,0.091164045,1.0962111
0.16117871,1.0666577,1.0772041
0.2905717,0.56938756,1.1151531
0.35532442,1.338105,1.1743759
0.516991,0.9486389,1.1397182
0.2736918,0.87196326,1.143859
0.16624232,1.0983787,1.0672479
-0.12125273,1.796189,1.0397062
0.4931295,0.72149116,1.2764275
0.018078187,1.5577891,1.3057244
-0.07798203,1.8025312,1.2825053
0.09625352,1.8561286,1.2434484
-0.01557842,1.1341257,1.1489587
-0.0821166,1.0102452,1.1675861
0.15416571,2.2393944,1.083999
0.30996212,0.8815428,1.2520263
0.32832083,0.8738783,1.1607397
0.14780785,1.3159355,1.0564439
-0.09966341,2.2294254,1.0935694
0.19086798,1.3479148,0.98303246
0.2744731,0.9250058,1.09337
0.13217504,0.7883733,1.079291
0.12599255,0.72490436,1.0675068
0.33220175,1.6280186,1.1822848
0.22699969,1.4119076,1.2065024
0.19358982,1.4067806,1.21396
-0.36627954,2.4427886,1.0979244
0.94346535,-1.1502321,1.0483592
0.11013914,0.8235768,1.3426552
0.3058161,0.61203563,1.2055782
0.19218133,1.3480494,1.3215348
0.22286294,1.2483953,1.2145764
0.037003785,1.3460991,1.2605088
0.240295,1.4510189,1.2480279
0.2179565,1.308601,1.2202029
0.24558942,1.2616178,1.1412002
-0.01459261,1.6939512,1.0689443
-0.21750747,2.2065225,1.2722425
0.7367625,-0.22278817,1.0381341
0.17631122,1.4066011,1.161059
-0.040618543,1.0590173,1.1331999
0.18660916,1.8857955,1.0650265
0.57435113,0.8995188,1.087206
0.13788812,0.7111765,1.1221592
0.2920928,0.80656385,1.1052126
0.4108303,1.1798484,1.1844758
0.38655987,0.61233395,1.1508204
0.7960709,0.4380674,1.1068101
0.74997663,-0.29606327,1.0587904
0.99940574,-1.0501357,1.2552282
0.3932296,0.63446426,1.425039
0.4077562,0.6414061,1.4140785
1.065705,-0.7949308,1.0408875
0.97540563,-0.6929921,1.2950968
1.0726186,-0.87621224,1.0351474
1.0617689,-0.45445052,1.071264
0.8885692,-0.20745641,1.1235707
0.77104056,-0.39009866,1.320358
0.9515761,-0.71330893,1.1293203
0.3896997,-0.3152705,1.5450357
0.61767644,0.57485384,1.3542681
0.92198855,-0.713836,1.0023282
0.9111711,-0.58348596,1.0305938
-0.16189352,1.9870527,1.2139797
0.48345307,0.06715048,1.2837679
0.2980916,0.7727206,1.187151
0.11613611,0.5992442,1.1256791
0.21168205,0.6816991,1.0863309
0.3142545,1.7174336,1.1282697
0.002027505,1.4002023,1.1479762
0.38801166,0.9570289,1.0805502
0.11950426,1.6948459,1.0825282
0.40416622,0.44654274,1.061517
0.47945285,1.2049859,1.3399603
0.05469477,0.93355525,1.008597
0.31816447,1.8515749,1.0188276
-0.030994672,1.101046,1.089652
0.45168084,0.18261926,1.1232613
0.57977676,0.69845563,1.2930036
0.29444116,1.1552205,1.3266773
0.58589876,0.44944063,0.86721945
0.4329417,0.59026355,1.0028596
0.06624183,1.192945,0.98425275
0.07093192,1.3727713,1.0017785
0.26029548,1.4296018,0.9764126
0.09519571,1.4143971,0.9975546
0.09977438,1.5741303,1.0532494
0.03843122,1.5753628,1.1089582
-0.31514177,2.3163025,1.1279335
-0.35704827,2.4538388,1.1454471
-0.104167975,1.8832059,1.1479802
0.17530112,1.5682607,1.0207775
0.09124077,1.7796998,1.2609501
0.22367983,0.97712654,1.226233
0.3626693,1.190368,1.1345103
0.43472454,0.766672,1.1168882
0.23735425,0.84498215,1.0404056
0.18558162,1.8183275,1.2082086
0.19591899,1.0839494,1.1957338
0.0725077,0.7831499,1.1794059
0.14346814,2.1309898,1.1501551
-0.26929075,1.6092793,1.1479383
0.05455588,1.9194845,1.1772063
0.11228516,1.0937625,1.1106004
0.24730928,1.2334507,1.1538577
0.20126173,1.0148036,0.9680897
0.4019013,1.2058591,1.1131463
0.17447875,0.95576996,1.3332087
0.29217315,1.1860224,1.2761295
-0.053990673,1.4917428,1.0672514
0.25163528,0.94973415,1.0949527
0.06511629,1.2051725,1.1691253
0.13996814,1.3979255,1.1793123
0.20251335,1.0617261,1.1256092
0.19095284,1.1872089,1.1601201
-0.112900786,1.9142431,1.1768957
0.83304805,-0.5016873,1.0729283
0.66843885,-0.36567968,1.0724478
0.50358254,0.27814028,1.1941268
0.36739954,1.1113011,1.3218526
0.17283995,1.4739351,1.082992
0.085199654,1.1551172,1.1716104
0.020767909,1.7649113,1.142791
0.34282655,0.7508208,1.1365956
0.006245822,1.5711255,1.2076697
0.4691231,0.6938014,0.9250563
0.4110003,0.8164147,1.0485954
0.5727806,0.23073229,1.0838561
0.120750405,1.8618901,1.1466236
-0.022077726,1.3678584,1.1733963
0.03187151,1.6364928,1.2541208
-0.019570244,1.2456824,1.2437526
0.14562401,1.8154267,1.1758804
0.22708453,1.5448157,1.1804574
0.38483837,0.6540932,1.2110788
0.51249284,0.8042737,1.2082272
0.7100396,0.6170529,1.2244048
0.44420397,0.35833663,1.0781474
0.52867573,0.72692806,1.0746024
0.5940993,0.18456429,1.0350558
0.5940993,0.18456429,1.0350558
0.44806698,0.39004883,0.99757737
0.54311365,0.24500418,1.0463438
0.518396,0.058082223,1.0482365
0.20792735,0.7420825,1.0595738
0.33993208,0.67410374,1.1589922
0.40973705,0.99525404,1.2363925
0.21908554,0.77610195,1.2768253
0.27806598,0.80852425,1.2676207
0.3792999,1.0513618,1.0382855
0.19493298,0.78092086,1.0157638
0.17345785,1.2183537,1.0660754
0.29158625,1.2797432,1.0977616
-0.11640484,1.7096876,1.2680205
-0.14584471,1.6600386,1.2959206
-0.2311112,2.0775368,1.147581
0.26680776,1.226313,1.0566463
0.04358107,1.3682219,1.11868
-0.071395576,1.4542146,1.1208217
0.04805633,1.9065884,1.0468011
0.43845,0.3340303,1.1552293
0.07021474,1.238776,1.122641
0.34301785,1.0130714,1.1473342
0.21831356,1.1344572,1.072262
0.44333676,1.0134617,1.0684366
0.00058839493,1.1465123,1.0752492
0.31981972,1.4288512,1.1462773
-0.1313262,1.7426556,1.1147696
-0.054392964,2.024535,1.1167855
0.09173934,1.2483552,1.2860745
-0.055151988,1.4217575,1.3115579
0.037933692,1.8213964,1.2437985
0.10408225,1.9247522,1.0699557
-0.36874408,2.1028695,1.0086632
-0.6008376,3.2159545,1.0776815
-0.064052776,2.0347393,1.0979043
0.3877099,0.89893955,1.1494312
0.2547821,1.00989,1.1178643
0.23697847,0.6475711,1.1449821
0.34398374,1.3907058,1.1299897
0.85776067,0.13430892,1.1768885
0.7332735,-0.21529718,1.1822684
0.9569352,-0.11223341,1.1487088
0.8100087,0.09246408,1.1979122
0.85633475,-0.052422646,1.0608968
0.7553672,-0.104259774,1.1025941
0.4437815,0.64780414,1.2188457
0.2274961,1.1395575,1.347377
0.5199427,0.9305097,1.1262362
-0.268201,1.796756,1.067411
-0.268201,1.796756,1.067411
0.9883144,-0.4251894,1.1977072
0.83623785,-0.5812706,1.1844605
0.3204589,0.32567638,1.235992
0.57450014,0.105661474,1.0998237
0.77216256,0.8211604,1.1139729
0.17769545,0.70153344,0.9888537
0.29895598,0.8509303,0.98810315
-0.0611258,1.9363134,1.1984363
0.78975815,-0.03765261,1.0911874
0.76403475,-0.1975719,1.0874346
0.39688668,0.27116567,1.3457865
0.57775867,0.85923165,1.473944
0.12013714,1.7154576,1.0576919
0.05235383,1.608251,1.0738989
0.32287726,1.1340718,1.0940936
0.3639846,1.2609746,1.0893354
0.12147991,0.95104903,1.2920161
0.37494332,0.8072703,0.99978113
0.42335486,0.7230791,1.105908
0.48599875,0.7619343,1.245079
0.6665607,-0.08529641,0.99626267
0.8343348,-0.30341634,0.97046375
0.87544036,-0.17519973,1.0083477
0.16859682,1.3990008,1.3245497
-0.23415521,2.1555543,1.1146331
0.40338096,0.43431705,1.1755922
0.44026634,1.0303874,1.1921779
0.55606633,-0.009515281,1.1578381
0.061277047,2.0627093,1.0780842
0.54053175,0.8870959,1.095049
0.63337666,-0.73156303,1.2047844
0.6810266,-0.42474547,1.229219
0.6897161,-0.091183305,1.346693
0.30604485,0.7298246,1.0459279
0.31179127,0.8653863,1.2098738
0.515714,0.7812514,1.3115687
-0.3044607,1.9330835,1.0297434
0.021473754,1.2048607,1.0678803
0.10034569,1.5009936,1.072675
0.37221,0.997757,1.1376532
-0.2524728,3.0360081,1.1663084
-0.27850807,2.3148894,1.1926945
0.16779642,1.4360679,1.0061421
0.17199901,1.3402911,0.962084
-0.08934322,1.6366569,1.1344082
0.08943867,2.1369345,1.135472
-0.010784987,1.8936899,1.1034992
0.4864139,0.75350773,1.1554512
-0.12193545,1.9645245,1.171605
0.42593545,0.168003,1.2106001
0.49761233,0.079175435,1.2319744
0.48587856,0.4597855,1.0601296
0.31195423,1.2023607,1.2186803
0.3455269,0.9374946,1.2482173
0.26390448,1.0095644,0.99305326
-0.36847153,2.7658858,1.2567346
-0.16990253,2.193639,1.261024
-0.12623452,2.031779,1.0331603
-0.04769815,1.7481556,1.0763966
0.08330504,1.9428862,1.4393561
-0.3253317,2.0876071,1.0906658
0.020933527,2.1317513,1.0866197
0.3219519,0.30192107,1.1479836
0.49825415,1.1949345,1.1165601
0.16025004,0.89840376,1.2020319
0.06956182,1.3409646,1.1565188
0.13949296,1.8713816,1.1380697
0.035187263,1.5956761,1.121124
0.08345308,1.691497,1.1274594
0.048849616,1.4074517,1.1686263
-0.032107428,1.323381,1.1900148
0.21248727,0.74834365,1.1469412
0.22193189,0.82106185,1.1217498
0.65223396,0.88270783,1.2469628
0.04931519,2.132732,1.2455219
-0.0907078,1.9936117,1.1394184
0.20727612,1.5670731,1.159287
0.2626777,0.5383772,1.1546994
0.43353036,0.9036021,1.1563519
0.14203505,1.1219779,1.2070488
0.5661017,0.5950695,1.1797533
0.07085822,1.771247,1.0356419
0.2600255,1.2412056,0.9464091
0.08606372,1.4232639,1.1385446
0.41722876,0.34903166,1.0500748
0.08870446,1.8064437,0.99791956
0.11938159,1.5607978,1.1109736
0.1389094,1.2069339,1.2046531
0.23659672,1.7041004,1.092899
0.22323902,1.1363884,1.1025859
0.16289407,1.5140353,1.0760893
0.39148697,0.57065207,1.208562
0.6293696,0.79119813,1.2503158
0.15573595,1.6393546,1.1211405
0.04480102,1.4038774,1.0432054
0.9306271,-0.4425339,1.2335032
0.66444445,-0.009304657,1.1075114
0.8727189,-0.30807027,0.9914918
0.7447042,-0.4738977,1.038276
0.80472356,0.09766784,1.1109627
0.8361895,-0.07406823,1.1713715
0.08563001,1.6705937,1.113476
0.21303976,1.7576125,1.1274117
0.23711401,1.232477,1.136485
0.01759296,1.259723,1.2029877
0.13921697,0.7897652,1.1172314
0.6683871,-0.09100831,1.3464732
0.61717254,-0.08722785,1.4328817
0.6105799,0.27085805,1.2983668
0.7295776,0.42237684,1.2882348
0.62737876,0.5357407,1.0027758
-0.053684182,1.1647996,1.0506136
0.52120805,1.0198832,1.1352208
0.34911138,0.23548135,1.092928
0.4446707,0.37791872,1.098505
-0.06553325,1.8439736,1.0956823
0.21522732,0.7483436,1.0931715
0.2819818,0.6353312,1.1958354
0.50746715,0.9649352,1.2223917
0.36650005,0.34743804,0.9977864
0.535387,0.62954426,1.0053461
0.60418713,0.44890904,1.0477166
0.6295495,0.3197174,0.99903
0.06427271,1.465637,0.9975891
-0.11377695,2.0838318,1.2397807
0.17445168,1.0591584,0.99866325
-0.5065879,2.81177,1.1753348
0.03668962,1.7078224,1.0251969
0.4901907,1.0391009,1.2137398
-0.2983518,2.0888402,1.1041002
-0.39350155,2.0223324,1.0618248
-0.19190627,2.166251,0.98272526
-0.22062194,2.1053298,0.9749805
-0.2933021,1.8814662,0.9732327
0.38918167,0.23929034,1.1882033
0.25464356,1.6380757,1.1721106
0.428643,0.76071376,1.0594056
-0.029012993,1.8562624,1.1627715
0.24579029,1.4097538,1.1214566
0.16523053,1.33024,1.0799153
0.41101164,1.090604,1.1539207
0.49258685,0.45250356,1.148044
0.5343216,0.46248063,1.1311551
0.24266429,0.817306,1.2786102
0.39951223,1.0863327,1.0435858
0.14560427,0.7646102,0.9779291
0.1669452,1.9537021,1.1623616
-0.07215314,1.4859834,1.1865197
-0.16966496,1.6963767,1.1331373
-0.25016248,1.7372755,1.1351353
-0.12572296,2.2744567,1.4795642
-0.5035407,2.636523,1.1156483
-0.25796142,2.6651077,1.0507165
-0.2887596,2.6293032,1.0989592
-0.3929806,2.7976394,1.1236696
-0.4681417,2.542134,1.2218468
-0.42928445,2.844342,1.2125822
-0.5089759,2.9866374,1.2075937
0.43084666,1.1850047,1.2727988
0.36402735,0.20118137,1.3080972
0.551048,0.989695,1.088627
0.12169256,1.0440437,1.2135657
0.33841205,0.7819624,1.1678778
0.48293376,0.73826665,0.99362254
0.20834321,1.5061727,1.0375265
0.33141756,1.3222392,1.2078357
0.030586723,1.3272543,1.0251476
-0.15630336,1.9263259,1.0508472
-0.027591096,2.1704955,1.275543
-0.09728218,1.5004641,1.1443039
0.21509668,1.609431,0.97530437
0.46485108,0.22144638,1.2489526
0.33221218,1.0679301,1.2955041
0.4392258,0.93528783,1.3167492
0.7198414,0.11843836,1.0478275
0.6749529,0.44471866,1.0846658
0.24794759,1.1876146,1.0560447
0.4145668,1.5100679,1.073867
0.60686934,-0.6033228,1.2399044
