alpha,beta_Dnorm,beta_CEI
-10.07559,5.974777,1.3316857
-10.288807,6.019219,1.3236692
-10.63428,7.152247,1.1311712
-10.662015,7.023286,1.1456021
-10.446344,7.2464414,0.9804024
-8.672752,3.6646535,1.3990054
-8.637448,3.6019216,1.4047701
-7.259581,1.8467218,1.0806804
-6.9658923,1.9364781,1.0819807
-7.0487075,1.8528879,1.0772873
-7.3201647,1.852118,1.2471699
-8.602517,3.988277,1.1977671
-8.829016,4.1270475,1.3839272
-8.814043,4.2042127,1.3825908
-8.940868,3.8450406,1.3637558
-8.978622,3.9254858,1.3525246
-8.929296,3.9703376,1.3500768
-9.354823,4.909775,1.218005
-9.406128,5.0824122,1.2792627
-10.511009,7.208869,0.99628115
-10.686228,7.0300965,1.1527258
-10.408756,6.9181185,1.127855
-10.569831,7.146193,1.1057945
-10.541471,7.1400285,1.1066165
-11.523851,8.167874,1.1770676
-9.84737,6.2056336,1.1115285
-9.889107,6.229793,1.1155684
-10.116591,6.2640786,1.1004107
-9.8244,5.9166894,1.0986733
-9.481914,5.3267803,1.2450767
-9.238329,4.7300434,1.177273
-7.675168,2.4602485,1.168613
-7.7182593,2.5798743,1.171108
-7.7182593,2.5798743,1.171108
-10.1988325,6.6655016,1.0903852
-10.228418,6.2610846,1.2069986
-8.86884,4.2753687,1.1574383
-8.796834,4.3329206,1.1580755
-9.836841,6.088947,1.098638
-9.521462,5.1088,1.3215262
-11.263605,8.026972,1.206345
-11.210458,7.6781893,1.1870085
-7.4656606,1.716307,1.4105625
-7.503974,2.0300953,1.2764184
-8.850718,4.106542,1.2892691
-8.487939,3.734946,1.2235267
-8.564766,3.84841,1.1499931
-9.178881,4.545381,1.1651958
-9.002858,4.632407,1.1865445
-10.268284,6.8371773,1.0199193
-10.158067,6.9924436,1.0278915
-10.349267,6.511446,1.1080301
-9.271773,5.002364,1.0627804
-10.522499,6.9976687,1.2049367
-8.076647,3.3132832,1.0926374
-9.830657,5.8402424,1.1880193
-9.897926,5.6927805,1.202624
-9.370305,5.352027,1.0550249
-9.317411,5.315268,1.0966986
-9.370995,5.212075,1.1062601
-9.705633,5.6446834,1.1525266
-9.634776,5.7518654,1.1494749
-9.868172,5.815786,1.1453187
-9.195542,4.9924674,1.1220723
-9.158004,5.0540175,1.120144
